id,year_born,gender,industry,industry_d,occupation,occupation_d,organisation_size,manage_people,household,how_long,m_r,time_last_year1,think_last_year1,think_last_year2,think_last_year3,think_last_year4,think_last_year5,think_last_year6,prefer_last_year,time_last_year2,think_last_months1,think_last_months2,think_last_months3,think_last_months4,think_last_months5,think_last_months6,prefer_last_months,prefer_post_covid,cured1,cured2,cured3,productive,time_workplace1,time_workplace2,time_workplace3,time_workplace4,time_remote1,time_remote2,time_remote3,time_remote4,most_barrier1,least_barrier1,most_barrier2,least_barrier2,most_barrier3,least_barrier3,most_barrier4,least_barrier4,most_barrier5,least_barrier5,most_barrier6,least_barrier6,most_barrier7,least_barrier7,most_barrier8,least_barrier8,most_barrier9,least_barrier9,most_barrier10,least_barrier10,best_remote1,worst_remote1,best_remote2,worst_remote2,best_remote3,worst_remote3,best_remote4,worst_remote4,best_remote5,worst_remote5,best_remote6,worst_remote6,time_remote_last_year,time_preferred_remote_last_year,time_remote_last_months,time_preferred_remote_last_months,time_preferred_postcovid,productivity,diff_last_year,diff_last_months,diff_post_covid,tlm_1,tlm_2,tlm_3,tlm_4,tlm_5,tlm_6,tly_1,tly_2,tly_3,tly_4,tly_5,tly_6,cur_1,cur_2,cur_3,most_barrier,least_barrier,best_remote,worst_remote,index_p,index_p20
460,1961,Male,Other Services,Personal and Other Services,Clerical and administrative ,Gerentes de Oficina y Administradores de Programas,More than 200,Yes,Couple with no dependent children,More than 5 years,Regional,50% - I spent about half of my time remote working,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,50% - About half of my time,70%,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,90%,50% - About half of my time,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Im 10% more productive when working remotely,4.0,7.5,4.0,2.0,0.5,8.0,6.0,3.0,"IT equipment (computer, printer, etc.)",Connectivity (internet connection),Lack of motivation,Lack of motivation,I have tasks that can't be done remotely,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Feeling left out and/or isolated,"My living situation (e.g. location, home size, who I live with)",Lack of motivation,Lack of motivation,I have tasks that can't be done remotely,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)","IT equipment (computer, printer, etc.)",Difficulty collaborating remotely,"My living situation (e.g. location, home size, who I live with)",Lack of motivation,Lack of motivation,"My living situation (e.g. location, home size, who I live with)",Lack of motivation,"My living situation (e.g. location, home size, who I live with)",My work-life balance,My working relationships,My mental wellbeing,My opportunities to socialise,My job satisfaction,Managing my family responsibilities,The number of hours  I work,My opportunities to socialise,The number of hours  I work,My personal relationships,My job satisfaction,My personal relationships,50,50,70,90,50,10,0,-20,-20,1.0,2.0,2.0,1.0,2.0,1.0,-1.0,2.0,1.0,1.0,2.0,1.0,-1,-1,0,Lack of motivation,Lack of motivation,My job satisfaction,My opportunities to socialise,10.0,10.0
461,1980,Male,Administrative and Support Services,Administrative Services,Clerical and administrative ,Otros Clericales y Administrativos,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,Rarely or never ,,,,,,,100% - All of my time,80%,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,100% - All of my time,90%,Somewhat disagree,Strongly disagree,Somewhat disagree,Im 30% more productive when working remotely,2.0,8.0,3.0,1.0,0.5,8.0,4.0,1.0,Poor management,"IT equipment (computer, printer, etc.)",Poor management,Lack of motivation,Poor management,Connectivity (internet connection),Management discourages remote working,Lack of remote working skills,Difficulty collaborating remotely,Lack of motivation,I have tasks that can't be done remotely,"IT equipment (computer, printer, etc.)",Management discourages remote working,Lack of remote working skills,Management discourages remote working,Lack of motivation,I have tasks that can't be done remotely,Lack of motivation,Management discourages remote working,Lack of remote working skills,Preparing for work and commuting,My on-the-job learning opportunities,My mental wellbeing,My working relationships,My job satisfaction,My working relationships,My mental wellbeing,My on-the-job learning opportunities,My job satisfaction,My on-the-job learning opportunities,My mental wellbeing,Managing my personal commitments,0,100,80,100,90,30,-100,-20,10,1.0,1.0,-1.0,-2.0,2.0,2.0,,,,,,,-1,-2,-1,Management discourages remote working,Lack of motivation,My mental wellbeing,My on-the-job learning opportunities,60.0,60.0
462,1972,Female,Health Care and Social Assistance,Social Assistance Services,Community and personal service ,Cuidadores y Asistentes,I am the only employee,No,Couple with no dependent children,Between 1 and 5 years,Metro,20%,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,50% - About half of my time,20%,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,50% - About half of my time,50% - About half of my time,Strongly disagree,Strongly disagree,Strongly disagree,Im 10% less productive when working remotely,1.0,8.0,2.0,5.0,0.0,7.0,4.0,7.0,Poor management,Difficulty collaborating remotely,Lack of motivation,Connectivity (internet connection),I have tasks that can't be done remotely,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)","My living situation (e.g. location, home size, who I live with)",Feeling left out and/or isolated,Caring responsibilities,Lack of motivation,I have tasks that can't be done remotely,Difficulty collaborating remotely,"My living situation (e.g. location, home size, who I live with)",Caring responsibilities,Management discourages remote working,Lack of motivation,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Lack of motivation,"My living situation (e.g. location, home size, who I live with)",I have tasks that can't be done remotely,My on-the-job learning opportunities,Managing my family responsibilities,Managing my family responsibilities,My mental wellbeing,My daily expenses,Managing my family responsibilities,My on-the-job learning opportunities,The number of hours  I work,The number of hours  I work,My personal relationships,My daily expenses,My mental wellbeing,20,50,20,50,50,-10,-30,-30,30,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,0.0,-1.0,1.0,-1.0,0.0,-2,-2,-2,"My living situation (e.g. location, home size, who I live with)",Lack of motivation,My on-the-job learning opportunities,Managing my family responsibilities,30.0,30.0
463,1965,Male,Financial and Insurance Services,Finance,Sales ,Representantes y Agentes de Ventas,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,50% - I spent about half of my time remote working,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,40%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,10%,20%,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,1.0,8.0,3.0,2.0,1.0,9.0,2.0,2.0,Connectivity (internet connection),Poor management,Connectivity (internet connection),Feeling left out and/or isolated,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Poor management,Connectivity (internet connection),Feeling left out and/or isolated,"IT equipment (computer, printer, etc.)",Caring responsibilities,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Caring responsibilities,"IT equipment (computer, printer, etc.)",Caring responsibilities,Lack of remote working skills,Lack of motivation,Cyber security,Lack of motivation,Lack of motivation,Management discourages remote working,My work-life balance,My working relationships,Managing my personal commitments,My opportunities to socialise,Preparing for work and commuting,My personal relationships,My work-life balance,My opportunities to socialise,My work-life balance,The number of hours  I work,Managing my personal commitments,My opportunities to socialise,50,40,100,10,20,0,10,90,-80,2.0,2.0,2.0,2.0,-1.0,2.0,-1.0,1.0,0.0,1.0,-1.0,0.0,1,1,1,Connectivity (internet connection),Caring responsibilities,My work-life balance,My opportunities to socialise,-50.0,-50.0
464,1970,Male,Education and Training,Tertiary Education,Managers,Gerentes Especialistas,More than 200,Yes,Couple with dependent children,Between 6 and 12 months,Metro,Less than 10% of my time,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Less than 10% of my time,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Less than 10% of my time,Less than 10% of my time,Somewhat agree,Somewhat agree,Somewhat agree,Im 10% less productive when working remotely,0.5,9.0,2.0,5.0,0.0,10.0,1.0,1.0,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Poor management,Connectivity (internet connection),"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Connectivity (internet connection),Poor management,Caring responsibilities,"IT equipment (computer, printer, etc.)",Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,"My living situation (e.g. location, home size, who I live with)",Lack of motivation,I have tasks that can't be done remotely,Cyber security,Lack of motivation,Management discourages remote working,Preparing for work and commuting,The number of hours  I work,Preparing for work and commuting,Managing my family responsibilities,Preparing for work and commuting,Managing my family responsibilities,My on-the-job learning opportunities,The number of hours  I work,My daily expenses,My job satisfaction,My mental wellbeing,My opportunities to socialise,10,10,100,10,10,-10,0,90,-90,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,1,1,Caring responsibilities,Poor management,Preparing for work and commuting,The number of hours  I work,-45.0,-45.0
465,1988,Male,Retail Trade,Non-Store Retailing and Retail Commission-Based Buying and/or Selling,Managers,"Directores Ejecutivos, Gerentes Generales y Legisladores",I am the only employee,No,Group household,More than 5 years,Regional,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Strongly agree,Strongly agree,Strongly agree,My productivity is about same when I work remotely,0.0,6.0,2.0,1.0,0.0,6.0,2.0,1.0,"IT equipment (computer, printer, etc.)",Poor management,Feeling left out and/or isolated,Poor management,Feeling left out and/or isolated,Poor management,Feeling left out and/or isolated,Poor management,Lack of motivation,Difficulty collaborating remotely,My organisation's software and systems,Caring responsibilities,"My living situation (e.g. location, home size, who I live with)",Caring responsibilities,Difficulty collaborating remotely,My organisation's software and systems,Lack of motivation,Lack of motivation,"My living situation (e.g. location, home size, who I live with)",My organisation's software and systems,The number of hours  I work,My work-life balance,My mental wellbeing,My working relationships,My job satisfaction,My daily expenses,My work-life balance,My opportunities to socialise,My job satisfaction,The number of hours  I work,My job satisfaction,My mental wellbeing,100,100,100,100,100,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,2,Feeling left out and/or isolated,Poor management,My job satisfaction,My work-life balance,0.0,0.0
466,1980,Female,Information Media and Telecommunications,Telecommunications Services,Professionals,"Profesionales de Negocios, Recursos Humanos y Marketing",More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,20%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,20%,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,20%,40%,Strongly agree,Somewhat agree,Strongly agree,Im 30% more productive when working remotely,1.0,8.5,5.0,1.0,0.0,10.0,5.0,1.0,"IT equipment (computer, printer, etc.)",Difficulty collaborating remotely,Connectivity (internet connection),Poor management,Connectivity (internet connection),"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Feeling left out and/or isolated,"My living situation (e.g. location, home size, who I live with)",Lack of motivation,Lack of motivation,"IT equipment (computer, printer, etc.)","My workspace (e.g. suitable chair, lighting, noise levels, facilities)","IT equipment (computer, printer, etc.)","My living situation (e.g. location, home size, who I live with)",Caring responsibilities,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Lack of motivation,"My living situation (e.g. location, home size, who I live with)",Lack of motivation,I have tasks that can't be done remotely,Preparing for work and commuting,The number of hours  I work,Preparing for work and commuting,My opportunities to socialise,Preparing for work and commuting,My job satisfaction,Managing my personal commitments,The number of hours  I work,My daily expenses,The number of hours  I work,Managing my personal commitments,My opportunities to socialise,20,20,100,20,40,30,0,80,-60,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2,1,2,"IT equipment (computer, printer, etc.)","My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Preparing for work and commuting,The number of hours  I work,-40.0,-40.0
467,1963,Male,Financial and Insurance Services,Finance,Professionals,"Profesionales de Negocios, Recursos Humanos y Marketing",More than 200,No,Couple with dependent children,More than 5 years,Metro,Less than 10% of my time,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,10%,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,80%,Somewhat agree,Somewhat agree,Neither agree nor disagree,Im 30% more productive when working remotely,1.5,7.5,4.0,4.0,0.5,8.0,8.0,4.0,"IT equipment (computer, printer, etc.)",Feeling left out and/or isolated,Connectivity (internet connection),Feeling left out and/or isolated,Connectivity (internet connection),"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Connectivity (internet connection),Poor management,"IT equipment (computer, printer, etc.)",Difficulty collaborating remotely,"IT equipment (computer, printer, etc.)",Difficulty collaborating remotely,"IT equipment (computer, printer, etc.)",Difficulty collaborating remotely,Lack of remote working skills,I have tasks that can't be done remotely,Cyber security,"My living situation (e.g. location, home size, who I live with)",Cyber security,"My living situation (e.g. location, home size, who I live with)",My work-life balance,My working relationships,Managing my family responsibilities,My working relationships,Managing my family responsibilities,My working relationships,Managing my personal commitments,The number of hours  I work,My work-life balance,The number of hours  I work,Managing my personal commitments,My mental wellbeing,10,10,100,100,80,30,0,0,-20,2.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,-1.0,2.0,1,1,0,"IT equipment (computer, printer, etc.)",Difficulty collaborating remotely,My work-life balance,My working relationships,0.0,0.0
468,1961,Male,"Electricity, Gas, Water and Waste Services",Electricity Supply,Managers,Gerentes Especialistas,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,Less than 10% of my time,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,20%,40%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,50% - About half of my time,20%,Somewhat agree,Somewhat agree,Strongly agree,Im 30% more productive when working remotely,1.5,9.0,0.5,4.0,0.5,11.0,1.0,4.0,Difficulty collaborating remotely,"IT equipment (computer, printer, etc.)",Poor management,Connectivity (internet connection),I have tasks that can't be done remotely,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Management discourages remote working,Lack of remote working skills,Difficulty collaborating remotely,"IT equipment (computer, printer, etc.)",I have tasks that can't be done remotely,My organisation's software and systems,Management discourages remote working,"IT equipment (computer, printer, etc.)",Management discourages remote working,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",I have tasks that can't be done remotely,"My living situation (e.g. location, home size, who I live with)",Management discourages remote working,Lack of remote working skills,Preparing for work and commuting,My working relationships,Managing my family responsibilities,My working relationships,Preparing for work and commuting,My working relationships,My work-life balance,My opportunities to socialise,My work-life balance,The number of hours  I work,My job satisfaction,My opportunities to socialise,10,20,40,50,20,30,-10,-10,-20,2.0,2.0,2.0,2.0,2.0,1.0,-1.0,-1.0,-2.0,2.0,1.0,0.0,1,1,2,Management discourages remote working,"IT equipment (computer, printer, etc.)",Preparing for work and commuting,My working relationships,10.0,10.0
469,1980,Male,Retail Trade,Fuel Retailing,Professionals,Profesionales de Tecnologías de la Información y Comunicación,More than 200,Yes,Single person,More than 5 years,Metro,Less than 10% of my time,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,50% - About half of my time,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,100% - All of my time,100% - All of my time,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,My productivity is about same when I work remotely,0.5,9.0,13.5,1.0,0.0,9.0,14.0,1.0,Difficulty collaborating remotely,Connectivity (internet connection),Feeling left out and/or isolated,Poor management,Feeling left out and/or isolated,I have tasks that can't be done remotely,Feeling left out and/or isolated,"My living situation (e.g. location, home size, who I live with)",Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,"My living situation (e.g. location, home size, who I live with)","My living situation (e.g. location, home size, who I live with)",I have tasks that can't be done remotely,Lack of motivation,"My living situation (e.g. location, home size, who I live with)",Lack of motivation,"My living situation (e.g. location, home size, who I live with)",My work-life balance,My working relationships,Managing my personal commitments,My opportunities to socialise,My daily expenses,My working relationships,My work-life balance,My opportunities to socialise,My daily expenses,My personal relationships,My daily expenses,My opportunities to socialise,10,50,100,100,100,0,-40,0,0,2.0,1.0,2.0,2.0,1.0,2.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,0,0,1,Difficulty collaborating remotely,"My living situation (e.g. location, home size, who I live with)",My daily expenses,My opportunities to socialise,20.0,20.0
470,1973,Male,Financial and Insurance Services,Finance,Professionals,"Profesionales de Negocios, Recursos Humanos y Marketing",More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,50% - I spent about half of my time remote working,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,10%,100% - I spent all of my time remote working,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,10%,40%,Somewhat agree,Somewhat agree,Somewhat agree,Im 10% less productive when working remotely,1.5,8.0,3.0,1.0,0.5,8.0,4.0,1.0,"IT equipment (computer, printer, etc.)",Connectivity (internet connection),Lack of motivation,Connectivity (internet connection),"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Connectivity (internet connection),"My living situation (e.g. location, home size, who I live with)",Connectivity (internet connection),Lack of motivation,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",I have tasks that can't be done remotely,"My living situation (e.g. location, home size, who I live with)",Difficulty collaborating remotely,"My living situation (e.g. location, home size, who I live with)",I have tasks that can't be done remotely,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Cyber security,Lack of motivation,I have tasks that can't be done remotely,My work-life balance,My on-the-job learning opportunities,Managing my personal commitments,My opportunities to socialise,My daily expenses,My working relationships,The number of hours  I work,My work-life balance,The number of hours  I work,My on-the-job learning opportunities,My daily expenses,My opportunities to socialise,50,10,100,10,40,-10,40,90,-60,2.0,-1.0,2.0,2.0,1.0,2.0,2.0,-1.0,-1.0,1.0,1.0,2.0,1,1,1,Lack of motivation,Connectivity (internet connection),My daily expenses,My on-the-job learning opportunities,-65.0,-65.0
471,2000,Male,Information Media and Telecommunications,Telecommunications Services,Managers,Gerentes Especialistas,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,Rarely or never ,,,,,,,40%,40%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,I would prefer not to work remotely ,Somewhat agree,Strongly agree,Strongly agree,Im 10% more productive when working remotely,2.0,8.0,4.0,10.0,0.1,7.9,10.0,6.0,Poor management,Feeling left out and/or isolated,Poor management,Feeling left out and/or isolated,Poor management,Feeling left out and/or isolated,Poor management,Feeling left out and/or isolated,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Lack of motivation,Lack of motivation,Lack of motivation,Lack of motivation,Lack of remote working skills,Preparing for work and commuting,My working relationships,Preparing for work and commuting,My working relationships,Preparing for work and commuting,My working relationships,My on-the-job learning opportunities,My work-life balance,My on-the-job learning opportunities,My work-life balance,My mental wellbeing,My opportunities to socialise,0,40,40,50,0,10,-40,-10,-40,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,1,2,2,Poor management,Feeling left out and/or isolated,Preparing for work and commuting,My working relationships,25.0,25.0
472,1985,Male,Financial and Insurance Services,Finance,Sales ,Soporte de Ventas,Between 20 and 199,No,Couple with no dependent children,Between 1 and 5 years,Metro,100% - I spent all of my time remote working,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,60%,50% - I spent about half of my time remote working,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,50% - About half of my time,40%,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Im 10% less productive when working remotely,1.0,1.0,2.0,8.0,1.0,6.0,2.0,7.0,"IT equipment (computer, printer, etc.)",Poor management,Feeling left out and/or isolated,Lack of motivation,I have tasks that can't be done remotely,Feeling left out and/or isolated,Connectivity (internet connection),"My living situation (e.g. location, home size, who I live with)",Lack of motivation,Difficulty collaborating remotely,I have tasks that can't be done remotely,"IT equipment (computer, printer, etc.)",Management discourages remote working,Caring responsibilities,Management discourages remote working,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Lack of motivation,"My living situation (e.g. location, home size, who I live with)",Lack of motivation,I have tasks that can't be done remotely,My on-the-job learning opportunities,My working relationships,My working relationships,My opportunities to socialise,Preparing for work and commuting,Managing my family responsibilities,My work-life balance,My opportunities to socialise,My work-life balance,My on-the-job learning opportunities,Managing my personal commitments,My personal relationships,100,60,50,50,40,-10,40,0,-10,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,0,-1,Lack of motivation,"My living situation (e.g. location, home size, who I live with)",My work-life balance,My opportunities to socialise,-20.0,-20.0
473,1956,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Profesionales de Negocios, Recursos Humanos y Marketing",More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,30%,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,30%,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,60%,Strongly agree,Neither agree nor disagree,Strongly agree,Im 10% more productive when working remotely,1.0,11.0,3.0,1.0,0.0,11.0,3.5,1.0,Feeling left out and/or isolated,Poor management,Feeling left out and/or isolated,Lack of motivation,Feeling left out and/or isolated,My organisation's software and systems,Feeling left out and/or isolated,Management discourages remote working,Caring responsibilities,Lack of motivation,Caring responsibilities,Difficulty collaborating remotely,Caring responsibilities,Management discourages remote working,Difficulty collaborating remotely,My organisation's software and systems,Lack of motivation,Management discourages remote working,"My living situation (e.g. location, home size, who I live with)",Management discourages remote working,Managing my family responsibilities,My working relationships,Managing my personal commitments,My working relationships,Managing my family responsibilities,My working relationships,Managing my personal commitments,My opportunities to socialise,My job satisfaction,The number of hours  I work,Managing my personal commitments,My opportunities to socialise,30,30,100,100,60,10,0,0,-40,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2,0,2,Feeling left out and/or isolated,Management discourages remote working,Managing my personal commitments,My working relationships,0.0,0.0
474,1961,Female,Health Care and Social Assistance,Medical and Other Health Care Services,Professionals,Profesionales de la Salud,I am the only employee,No,Couple with dependent children,Between 1 and 5 years,Metro,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,30%,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,30%,30%,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Im 20% more productive when working remotely,3.0,9.0,2.0,2.0,4.0,8.0,2.0,2.0,Caring responsibilities,Difficulty collaborating remotely,Cyber security,Feeling left out and/or isolated,I have tasks that can't be done remotely,Feeling left out and/or isolated,"My living situation (e.g. location, home size, who I live with)",Feeling left out and/or isolated,Caring responsibilities,Lack of motivation,I have tasks that can't be done remotely,Difficulty collaborating remotely,"My living situation (e.g. location, home size, who I live with)",Lack of remote working skills,Management discourages remote working,Lack of motivation,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Lack of motivation,Lack of motivation,Lack of remote working skills,Preparing for work and commuting,Managing my family responsibilities,Managing my personal commitments,Managing my family responsibilities,Preparing for work and commuting,Managing my family responsibilities,Managing my personal commitments,My opportunities to socialise,My job satisfaction,My work-life balance,My job satisfaction,My opportunities to socialise,20,30,20,30,30,20,-10,-10,10,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,-1,0,0,Caring responsibilities,Feeling left out and/or isolated,Preparing for work and commuting,Managing my family responsibilities,10.0,10.0
475,1990,Female,Education and Training,"Adult, Community and Other Education",Sales ,Representantes y Agentes de Ventas,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,30%,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,50% - About half of my time,10%,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Less than 10% of my time,50% - About half of my time,Somewhat disagree,Somewhat disagree,Somewhat disagree,Im 20% more productive when working remotely,1.0,8.0,1.0,1.0,0.0,8.0,3.0,1.0,"IT equipment (computer, printer, etc.)",Poor management,Cyber security,Lack of motivation,Connectivity (internet connection),"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Connectivity (internet connection),"My living situation (e.g. location, home size, who I live with)",Lack of motivation,Caring responsibilities,My organisation's software and systems,Caring responsibilities,"IT equipment (computer, printer, etc.)","My living situation (e.g. location, home size, who I live with)","IT equipment (computer, printer, etc.)","My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Cyber security,"My living situation (e.g. location, home size, who I live with)",Lack of motivation,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Managing my family responsibilities,My on-the-job learning opportunities,My mental wellbeing,Managing my personal commitments,Managing my family responsibilities,My daily expenses,My mental wellbeing,My opportunities to socialise,The number of hours  I work,My personal relationships,Managing my personal commitments,My personal relationships,30,50,10,10,50,20,-20,0,40,-1.0,-1.0,-1.0,-1.0,1.0,2.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1,-1,-1,"IT equipment (computer, printer, etc.)","My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Managing my family responsibilities,My personal relationships,10.0,10.0
476,1959,Female,Education and Training,"Adult, Community and Other Education",Clerical and administrative ,Asistentes Personales y Secretarias,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,30%,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,30%,50% - I spent about half of my time remote working,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,60%,50% - About half of my time,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Im 50% more productive when working remotely (or more),3.0,9.0,3.0,2.0,0.5,8.0,5.0,3.0,Poor management,Caring responsibilities,Poor management,Lack of motivation,I have tasks that can't be done remotely,My organisation's software and systems,Management discourages remote working,"My living situation (e.g. location, home size, who I live with)",Lack of motivation,Caring responsibilities,I have tasks that can't be done remotely,Caring responsibilities,Management discourages remote working,Caring responsibilities,Management discourages remote working,My organisation's software and systems,I have tasks that can't be done remotely,Lack of motivation,Lack of motivation,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",My work-life balance,Managing my family responsibilities,Managing my family responsibilities,My opportunities to socialise,My daily expenses,My working relationships,My work-life balance,The number of hours  I work,My daily expenses,The number of hours  I work,My job satisfaction,My opportunities to socialise,30,30,50,60,50,50,0,-10,0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.0,0.0,2.0,1.0,0,0,2,I have tasks that can't be done remotely,Caring responsibilities,My work-life balance,My opportunities to socialise,5.0,5.0
