id,year_born,gender,how_long,industry,occupation,organisation,household,m_r,remote_last_quarter,remote_preferred_last_quarter,remote_this_year,remote_preferred_this_year,covid_cured_preferred_remote,arra_updated_policy,past_6months,how_often,how_often_like,policy_workplace,policy_workplace_time,think_policy1,think_policy2,think_policy3,think_policy4,feel_remote_policy,think_6months1,think_6months2,think_6months3,think_6months4,think_6months5,think_6months6,think_6months7,think_remote,most_supportive,covid_cured1,covid_cured2,covid_cured3,think_workplace1,think_workplace2,think_workplace3,think_workplace4,think_workplace5,think_remote1,think_remote2,think_remote3,think_remote4,think_remote5,remote_paycut,biggest_paycut,barriers_remote1,barriers_remote2,barriers_remote3,barriers_remote4,barriers_remote5,barriers_remote6,barriers_remote7,barriers_remote8,barriers_remote9,barriers_remote10,barriers_remote11,barriers_remote12,barriers_remote13,barriers_remote14,barriers_remote15,barriers_remote16,barrier_colleagues1,barrier_colleagues2,barrier_colleagues3,barrier_colleagues4,barrier_colleagues5,barrier_colleagues6,barrier_colleagues7,barrier_colleagues8,barrier_colleagues9,barrier_colleagues10,barrier_colleagues11,barrier_colleagues12,barrier_colleagues13,barrier_colleagues14,barrier_colleagues15,barrier_colleagues16,barrier_colleagues17,barrier_colleagues18,barrier_colleagues19,barrier_colleagues20,barrier_colleagues21,barrier_colleagues22,barrier_colleagues23,barrier_colleagues24,barrier_colleagues25,barrier_colleagues26,barrier_colleagues27,barrier_colleagues28,statements1,statements2,statements_2,manage_people,employees_manage_remote,statements_3,statements11,statements12,statements1_2,statements21,statements22,statements2_2,statements2_3,statements23,productive,productive_employees,productive1,productive_employees1,remote_last_quarter1,remote_preferred_last_quarter1,remote_this_year1,remote_preferred_this_year1,covid_cured_preferred_remote1,how_often1,how_often_like1,policy_workplace_time1,t_policy1,t_policy2,t_policy3,t_policy4,t_6months1,t_6months2,t_6months3,t_6months4,t_6months5,t_6months6,t_6months7,ss1,ss2,ss_2,ss_3,ss11,ss12,ss1_2,ss21,ss22,ss2_2,ss2_3,ss23,bar_rem1,bar_rem2,bar_rem3,bar_rem4,bar_rem5,bar_rem6,bar_rem7,bar_rem8,bar_rem9,bar_rem10,bar_rem11,bar_rem12,bar_rem13,bar_rem14,bar_rem15,bar_rem16,biggest_b_colle,smallest_b_colle,occupation_d,index_p,index_p21
229,1991,Female,More than 5 years,Manufacturing,Managers,Between 20 and 199,Couple with no dependent children,Metro,100% - I spent all of my time remote working,100% - All of my time,60%,50% - About half of my time,70%,Yes,Yes,90%,60%,Yes,40%,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat Positive,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat Positive,They are about the same,Very likely,Very likely,Very likely,1.0,9.0,,5.0,9.0,2.0,8.0,1.0,3.0,10.0,Yes,0.1,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Significantly improved,Significantly improved,Significantly improved,Somewhat improved,Significantly improved,Somewhat improved,Stayed about the same,Interruptions,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Difficulty innovating,Difficulty collaborating with remote colleagues,Interruptions,Connectivity/internet issues,Interruptions,Lack of appropriate work and meeting spaces,Interruptions,Difficulty collaborating with remote colleagues,Lack of privacy,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Interruptions,Problems with audio-visual setup,Difficulty innovating,Difficulty collaborating with remote colleagues,Lack of privacy,Problems with audio-visual setup,Lack of privacy,Difficulty collaborating with remote colleagues,Difficulty innovating,Difficulty collaborating with remote colleagues,Somewhat agree,Somewhat agree,Strongly agree,Yes,Yes,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Im 20% more productive when working remotely,Im 20% more productive when working remotely,20,20.0,100,100,60,50,70,90.0,60.0,40.0,2,1,1,1,2,2,2,1,1,2,1,1.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,Interruptions,Difficulty collaborating with remote colleagues,"Directores Ejecutivos, Gerentes Generales y Legisladores",-5.0,-5.0
230,1985,Male,Between 6 and 12 months,Manufacturing,Sales ,Between 5 and 19,Single person,Metro,10%,20%,10%,20%,30%,No,Yes,50% - About half of my time,20%,Yes,50% - About half of my time,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat Positive,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat Positive,My direct manger(s),Somewhat unlikely,Somewhat likely,Somewhat likely,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,No,,Somewhat worsened,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Significantly improved,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat worsened,Somewhat worsened,Significantly improved,Stayed about the same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither agree nor disagree,Somewhat agree,Somewhat agree,No,,,,,,,,,,,Im 30% more productive when working remotely,,30,,10,20,10,20,30,50.0,20.0,50.0,0,1,2,1,1,1,1,2,2,-1,0,0.0,1.0,1.0,,,,,,,,,,-1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,-1.0,-1.0,2.0,0.0,,,Representantes y Agentes de Ventas,10.0,10.0
231,1988,Male,More than 5 years,Other Services,Labourers,More than 200,Single person,Metro,10%,80%,20%,80%,50% - About half of my time,Yes,No,,,Yes,60%,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Neither positive nor negative,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat Positive,They are about the same,Somewhat unlikely,Somewhat unlikely,Very unlikely,2.0,10.0,3.0,3.0,6.0,0.5,6.0,5.0,4.0,8.5,No,,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Not a barrier for me,Stayed about the same,Significantly worsened,Somewhat improved,Somewhat improved,Stayed about the same,Not a barrier for me,Stayed about the same,Significantly improved,Interruptions,Lack of privacy,Problems with audio-visual setup,Lack of privacy,Difficulty innovating,Connectivity/internet issues,Difficulty innovating,Connectivity/internet issues,Difficulty innovating,Noisy work environment,Noisy work environment,Interruptions,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Noisy work environment,Lack of appropriate work and meeting spaces,Noisy work environment,Difficulty collaborating with remote colleagues,Difficulty innovating,Lack of privacy,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Noisy work environment,Interruptions,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Difficulty innovating,Strongly agree,Strongly agree,Neither agree nor disagree,No,,,,,,,,,,,Im 50% more productive when working remotely (or more),,50,,10,80,20,80,50,,,60.0,0,-2,-2,2,1,0,1,0,0,0,1,2.0,2.0,0.0,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-2.0,1.0,1.0,0.0,,0.0,2.0,Difficulty innovating,Difficulty collaborating with remote colleagues,Otros Obreros,65.0,65.0
232,1961,Female,More than 5 years,Construction,Clerical and administrative ,Between 1 and 4,Couple with no dependent children,Metro,100% - I spent all of my time remote working,100% - All of my time,100% - I spent all of my time remote working,100% - All of my time,90%,No,No,,,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat Positive,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Neither positive nor negative,My direct manger(s),Very likely,Very likely,Very likely,1.0,7.0,3.0,5.0,8.0,1.0,7.0,3.0,5.0,8.0,Yes,0.05,Not a barrier for me,Stayed about the same,Stayed about the same,Not a barrier for me,Not a barrier for me,Stayed about the same,Somewhat worsened,Somewhat worsened,Stayed about the same,Not a barrier for me,Somewhat improved,Somewhat worsened,Not a barrier for me,Not a barrier for me,Not a barrier for me,Stayed about the same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,,,,,,,,,,,My productivity is about same when I work remotely,,0,,100,100,100,100,90,,,,2,2,2,2,2,1,-1,2,2,-1,2,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,0.0,-1.0,-1.0,0.0,,1.0,-1.0,,,,0.0,,,Clerks Numéricos,0.0,0.0
233,1970,Female,Between 6 and 12 months,Administrative and Support,Clerical and administrative ,Between 20 and 199,One parent family with dependent children,Metro,100% - I spent all of my time remote working,100% - All of my time,100% - I spent all of my time remote working,100% - All of my time,100% - All of my time,Yes,Yes,90%,90%,Unsure,,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat Positive,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly Positive,They are about the same,Somewhat likely,Somewhat likely,Somewhat likely,2.0,7.0,3.0,5.0,7.0,2.0,7.0,5.0,3.0,7.0,Yes,0.02,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat worsened,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Significantly improved,Somewhat improved,Significantly improved,Noisy work environment,Lack of privacy,Connectivity/internet issues,Problems with audio-visual setup,Interruptions,Difficulty innovating,Connectivity/internet issues,Difficulty innovating,Noisy work environment,Difficulty innovating,Lack of appropriate work and meeting spaces,Noisy work environment,Interruptions,Difficulty collaborating with remote colleagues,Noisy work environment,Difficulty innovating,Noisy work environment,Difficulty collaborating with remote colleagues,Interruptions,Lack of privacy,Lack of appropriate work and meeting spaces,Difficulty innovating,Connectivity/internet issues,Lack of privacy,Interruptions,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Difficulty collaborating with remote colleagues,Neither agree nor disagree,Strongly agree,Somewhat agree,No,,,,,,,,,,,Im 40% less productive when working remotely,,-40,,100,100,100,100,100,90.0,90.0,,1,2,1,1,1,2,1,1,2,1,2,0.0,2.0,1.0,,,,,,,,,,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,Noisy work environment,Difficulty innovating,Apoyo Clerical y de Oficina,0.0,0.0
234,1982,Female,Between 1 and 5 years,Financial and Insurance,Professionals,More than 200,Couple with no dependent children,Metro,100% - I spent all of my time remote working,80%,100% - I spent all of my time remote working,100% - All of my time,90%,Yes,No,,,Yes,40%,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Neither positive nor negative,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly Positive,My direct manger(s),Very unlikely,Somewhat unlikely,Very unlikely,2.5,9.0,2.5,3.0,7.0,0.5,8.0,2.0,5.5,8.0,Yes,0.1,Not a barrier for me,Somewhat improved,Stayed about the same,Not a barrier for me,Significantly improved,Stayed about the same,Not a barrier for me,Stayed about the same,Stayed about the same,Not a barrier for me,Somewhat improved,Significantly improved,Somewhat worsened,Stayed about the same,Not a barrier for me,Significantly improved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Somewhat disagree,Yes,Yes,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Im 50% more productive when working remotely (or more),Im 50% more productive when working remotely (or more),50,50.0,100,80,100,100,90,,,40.0,1,-1,0,2,2,2,2,1,2,0,2,2.0,2.0,-1.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,,1.0,0.0,,2.0,0.0,,0.0,0.0,,1.0,2.0,-1.0,0.0,,2.0,,,"Profesionales de Negocios, Recursos Humanos y Marketing",-10.0,-10.0
235,1980,Male,More than 5 years,Construction,Managers,More than 200,Couple with dependent children,Metro,40%,40%,30%,20%,10%,Yes,Yes,30%,30%,Yes,20%,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither positive nor negative,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat Positive,My direct manger(s),Somewhat unlikely,Somewhat likely,Somewhat likely,10.0,3.0,11.0,,,3.0,2.0,12.0,5.0,2.0,Yes,0.1,Somewhat improved,Stayed about the same,Significantly improved,Somewhat improved,Significantly improved,Significantly improved,Somewhat improved,Significantly improved,Significantly improved,Significantly improved,Somewhat improved,Significantly improved,Stayed about the same,Somewhat improved,Somewhat improved,Significantly improved,Interruptions,Noisy work environment,Lack of privacy,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Interruptions,Difficulty innovating,Connectivity/internet issues,Connectivity/internet issues,Noisy work environment,Interruptions,Noisy work environment,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Lack of privacy,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Interruptions,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Problems with audio-visual setup,Interruptions,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Difficulty collaborating with remote colleagues,Neither agree nor disagree,Strongly agree,Somewhat agree,Yes,Yes,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Im 30% more productive when working remotely,Im 30% more productive when working remotely,30,30.0,40,40,30,20,10,30.0,30.0,20.0,-1,-1,1,0,1,2,0,1,2,1,1,0.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,Interruptions,Noisy work environment,Agricultores y Gerentes de Granjas,-5.0,-5.0
236,1986,Female,More than 5 years,Other Services,Technicians and trades ,Between 1 and 4,Couple with no dependent children,Regional,100% - I spent all of my time remote working,100% - All of my time,100% - I spent all of my time remote working,100% - All of my time,80%,No,No,,,No,,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat Positive,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly Positive,They are about the same,Neither unlikely or likely,Neither unlikely or likely,Very likely,1.0,6.0,5.0,4.0,8.0,1.0,5.0,4.0,5.0,9.0,Yes,0.6,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Not a barrier for me,Stayed about the same,Stayed about the same,Not a barrier for me,Not a barrier for me,Stayed about the same,Not a barrier for me,Stayed about the same,Not a barrier for me,Stayed about the same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Somewhat agree,Somewhat agree,Yes,Yes,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Im 20% more productive when working remotely,Im 20% more productive when working remotely,20,20.0,100,100,100,100,80,,,,2,2,2,-2,1,2,2,1,1,-2,1,2.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,,,Otros Técnicos y Oficios,0.0,0.0
237,1991,Male,More than 5 years,"Professional, Scientific and Technical",Professionals,Between 20 and 199,Group household,Metro,80%,80%,60%,70%,60%,Yes,Yes,60%,70%,Unsure,,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly Positive,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly Positive,They are about the same,Neither unlikely or likely,Very unlikely,Very likely,2.0,9.0,2.0,3.0,8.0,0.0,12.0,2.0,2.0,8.0,No,,Stayed about the same,Significantly improved,Significantly improved,Stayed about the same,Stayed about the same,Stayed about the same,Not a barrier for me,Somewhat worsened,Significantly worsened,Stayed about the same,Somewhat worsened,Somewhat improved,Significantly worsened,Somewhat worsened,Stayed about the same,Somewhat worsened,Difficulty collaborating with remote colleagues,Lack of privacy,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Lack of privacy,Connectivity/internet issues,Noisy work environment,Problems with audio-visual setup,Noisy work environment,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Noisy work environment,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Interruptions,Difficulty innovating,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Noisy work environment,Interruptions,Difficulty collaborating with remote colleagues,Difficulty collaborating with remote colleagues,Noisy work environment,Somewhat agree,Strongly agree,Strongly agree,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Im 10% more productive when working remotely,Im 10% more productive when working remotely,10,10.0,80,80,60,70,60,60.0,70.0,,2,0,1,1,-2,-2,0,2,0,-2,2,1.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,0.0,-1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,,-1.0,-2.0,0.0,-1.0,1.0,-2.0,-1.0,0.0,-1.0,Connectivity/internet issues,Noisy work environment,"Profesionales de Negocios, Recursos Humanos y Marketing",5.0,5.0
238,1986,Male,Between 1 and 5 years,Education and Training,Professionals,Between 20 and 199,One parent family with dependent children,Metro,60%,70%,60%,70%,60%,No,No,,,No,,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither positive nor negative,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither positive nor negative,My direct manger(s),Very likely,Very likely,Somewhat likely,3.0,8.0,2.0,3.0,8.0,1.0,10.0,3.0,3.0,7.0,No,,Stayed about the same,Somewhat worsened,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat improved,Significantly improved,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Difficulty collaborating with remote colleagues,Interruptions,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Connectivity/internet issues,Interruptions,Lack of appropriate work and meeting spaces,Interruptions,Problems with audio-visual setup,Connectivity/internet issues,Difficulty innovating,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Lack of privacy,Difficulty innovating,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Noisy work environment,Lack of privacy,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Somewhat agree,Somewhat agree,Strongly agree,No,,,,,,,,,,,My productivity is about same when I work remotely,,0,,60,70,60,70,60,,,,2,1,1,0,0,1,0,1,1,2,1,1.0,1.0,2.0,,,,,,,,,,0.0,-1.0,1.0,1.0,0.0,-1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Profesionales de la Educación,10.0,10.0
239,2001,Female,Between 6 and 12 months,"Agriculture, Forestry and Fishing",Professionals,Between 5 and 19,Other one family household,Regional,10%,10%,20%,20%,10%,Yes,No,,,Yes,20%,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat Positive,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Positive,Senior leadership,Neither unlikely or likely,Somewhat unlikely,Neither unlikely or likely,1.0,14.0,2.0,2.0,5.0,1.0,6.0,7.0,4.0,6.0,Yes,0.28,Somewhat worsened,Significantly worsened,Significantly worsened,Somewhat worsened,Stayed about the same,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Stayed about the same,Significantly worsened,Somewhat worsened,Somewhat worsened,Stayed about the same,Stayed about the same,Difficulty collaborating with remote colleagues,Interruptions,Problems with audio-visual setup,Connectivity/internet issues,Difficulty innovating,Connectivity/internet issues,Difficulty innovating,Difficulty collaborating with remote colleagues,Noisy work environment,Interruptions,Interruptions,Noisy work environment,Problems with audio-visual setup,Connectivity/internet issues,Lack of privacy,Noisy work environment,Lack of appropriate work and meeting spaces,Noisy work environment,Difficulty innovating,Problems with audio-visual setup,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Problems with audio-visual setup,Noisy work environment,Difficulty collaborating with remote colleagues,Interruptions,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Yes,Yes,Strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Im 10% more productive when working remotely,Im 10% more productive when working remotely,10,10.0,10,10,20,20,10,,,20.0,-1,-1,-2,-1,0,-1,-1,-1,-1,0,0,0.0,0.0,-1.0,-2.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-2.0,-2.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-1.0,-1.0,0.0,0.0,Difficulty collaborating with remote colleagues,Noisy work environment,Profesionales de la Educación,0.0,0.0
240,1980,Male,More than 5 years,Construction,Professionals,More than 200,One parent family with dependent children,Metro,10%,20%,30%,10%,10%,Yes,Yes,20%,10%,Yes,20%,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither positive nor negative,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Negative,Senior leadership,Very likely,Somewhat likely,Somewhat likely,3.0,3.0,5.0,4.0,9.0,,8.0,,7.0,9.0,Yes,0.3,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Significantly improved,Stayed about the same,Somewhat improved,Significantly improved,Significantly improved,Somewhat improved,Significantly improved,Somewhat improved,Significantly improved,Interruptions,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Interruptions,Connectivity/internet issues,Difficulty innovating,Connectivity/internet issues,Interruptions,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Noisy work environment,Interruptions,Problems with audio-visual setup,Difficulty innovating,Noisy work environment,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Lack of privacy,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Lack of privacy,Noisy work environment,Lack of appropriate work and meeting spaces,Interruptions,Difficulty collaborating with remote colleagues,Noisy work environment,Somewhat agree,Neither agree nor disagree,Strongly agree,Yes,Yes,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Im 30% more productive when working remotely,Im 30% more productive when working remotely,30,30.0,10,20,30,10,10,20.0,10.0,20.0,1,1,1,2,1,1,1,1,0,0,0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,Interruptions,Connectivity/internet issues,"Profesionales de Negocios, Recursos Humanos y Marketing",-5.0,-5.0
241,1970,Male,Between 1 and 5 years,Information Media and Telecommunications,Managers,Between 20 and 199,Couple with dependent children,Metro,40%,50% - About half of my time,40%,50% - About half of my time,20%,Yes,Yes,40%,50% - About half of my time,Yes,40%,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly Positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly Positive,My direct manger(s),Very likely,Very likely,Somewhat likely,6.0,2.0,4.0,4.0,8.0,8.0,2.0,2.0,3.0,9.0,Yes,0.1,Significantly improved,Somewhat improved,Significantly improved,Somewhat improved,Significantly improved,Somewhat improved,Significantly improved,Somewhat improved,Somewhat improved,Somewhat improved,Significantly improved,Somewhat improved,Significantly improved,Significantly improved,Significantly improved,Somewhat improved,Difficulty collaborating with remote colleagues,Noisy work environment,Problems with audio-visual setup,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Interruptions,Difficulty collaborating with remote colleagues,Lack of privacy,Connectivity/internet issues,Interruptions,Noisy work environment,Interruptions,Connectivity/internet issues,Interruptions,Difficulty innovating,Lack of appropriate work and meeting spaces,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Difficulty innovating,Interruptions,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Noisy work environment,Problems with audio-visual setup,Difficulty collaborating with remote colleagues,Interruptions,Noisy work environment,Problems with audio-visual setup,Strongly agree,Strongly agree,Somewhat agree,Yes,Yes,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Im 30% more productive when working remotely,Im 30% more productive when working remotely,30,30.0,40,50,40,50,20,40.0,50.0,40.0,-1,-2,-2,-1,2,2,2,2,1,1,1,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,Difficulty collaborating with remote colleagues,Interruptions,"Gerentes de Hospitalidad, Retail y Servicios",10.0,10.0
