occupation_d,¿Gestionas personas como parte de tu trabajo actual?,¿Los empleados que gestionas trabajan de forma remota alguna vez?,Tengo discreción para ofrecer o denegar el trabajo remoto a los empleados que gestiono,Ofrecer trabajo remoto me ayuda a retener empleados,Ofrecer trabajo remoto me ayuda a reclutar empleados,Mi equipo funciona bien cuando trabajan de forma remota,"Me resulta fácil gestionar empleados de forma remota (por ejemplo, asignar tareas y controlar el progreso)",Me resulta fácil gestionar empleados con bajo rendimiento de forma remota,Me siento bien preparado/a para gestionar empleados de forma remota,Gestionar personas de forma remota me hace estar más enfocado/a en los resultados,Me resulta fácil contactar a mis empleados cuando trabajan de forma remota
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,30.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
Apoyo Clerical y de Oficina,Yes,Yes,40.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Habilidad en Cuidado Animal y Horticultura,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,30.0,0.0,0.0,1.0,1.0,1.0,-1.0,1.0,1.0
Profesionales de la Educación,Yes,Yes,10.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,No,-20.0,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,-10.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
Gerentes Especialistas,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,50.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,40.0,2.0,2.0,2.0,2.0,0.0,-1.0,1.0,1.0
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,Yes,50.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0
"Profesionales Legales, Sociales y de Bienestar",Yes,Yes,0.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,0.0
Profesionales de la Salud,Yes,Yes,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
Gerentes de Oficina y Administradores de Programas,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,30.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,50.0,0.0,-1.0,1.0,1.0,0.0,1.0,0.0,0.0
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,50.0,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Profesionales de las Artes y los Medios,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,50.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0
Gerentes Especialistas,Yes,Yes,30.0,0.0,1.0,2.0,1.0,0.0,-1.0,1.0,1.0
Oficios de Electrotecnología y Telecomunicaciones,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,50.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0
Gerentes Especialistas,Yes,Yes,0.0,2.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0
"Gerentes de Hospitalidad, Retail y Servicios",No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,Yes,-20.0,1.0,1.0,1.0,0.0,1.0,-1.0,1.0,0.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
Profesionales de la Educación,No,,,,,,,,,,
Profesionales de la Salud,No,,,,,,,,,,
Habilidad en Cuidado Animal y Horticultura,Yes,Yes,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
Profesionales de la Educación,Yes,Yes,0.0,2.0,2.0,-2.0,0.0,-2.0,0.0,0.0,0.0
"Gerentes de Hospitalidad, Retail y Servicios",Yes,Yes,30.0,1.0,-1.0,2.0,1.0,1.0,1.0,1.0,2.0
Asistentes Personales y Secretarias,No,,,,,,,,,,
"Profesionales Legales, Sociales y de Bienestar",No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,-10.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gerentes de Oficina y Administradores de Programas,Yes,Yes,50.0,-2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0
Apoyo de Salud y Bienestar,No,,,,,,,,,,
Profesionales de la Salud,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,50.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0
Clerical General,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,30.0,2.0,0.0,0.0,-1.0,1.0,-1.0,1.0,1.0
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,0.0,1.0,2.0,0.0,1.0,1.0,-1.0,2.0,1.0
Profesionales de la Educación,Yes,No,-10.0,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Oficios de Construcción,No,,,,,,,,,,
Gerentes Especialistas,Yes,No,0.0,,,,,,,,
Gerentes Especialistas,Yes,No,0.0,,,,,,,,
Gerentes de Oficina y Administradores de Programas,No,,,,,,,,,,
"Profesionales Legales, Sociales y de Bienestar",No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Gerentes de Hospitalidad, Retail y Servicios",Yes,Yes,-10.0,1.0,1.0,1.0,1.0,2.0,-1.0,1.0,1.0
Agricultores y Gerentes de Granjas,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,50.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0
Clerical General,No,,,,,,,,,,
"Gerentes de Hospitalidad, Retail y Servicios",Yes,Yes,10.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0
Profesionales de la Educación,No,,,,,,,,,,
Hospitalidad,Yes,No,10.0,,,,,,,,
Asistentes Personales y Secretarias,No,,,,,,,,,,
Clerical General,Yes,Yes,40.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Profesionales de las Artes y los Medios,No,,,,,,,,,,
Asistentes y Vendedores,Yes,Yes,30.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0
"Gerentes de Hospitalidad, Retail y Servicios",Yes,Yes,40.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
"Profesionales Legales, Sociales y de Bienestar",No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,20.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
Gerentes Especialistas,Yes,No,40.0,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
"Gerentes de Hospitalidad, Retail y Servicios",No,,,,,,,,,,
Otros Clericales y Administrativos,No,,,,,,,,,,
Gerentes Especialistas,No,,,,,,,,,,
"Gerentes de Hospitalidad, Retail y Servicios",Yes,Yes,30.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Profesionales de la Salud,Yes,Yes,20.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0
Clerical General,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,-30.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
Apoyo Clerical y de Oficina,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,20.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Gerentes Especialistas,Yes,Yes,50.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,2.0
Gerentes Especialistas,Yes,Yes,20.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0
"Gerentes de Hospitalidad, Retail y Servicios",No,,,,,,,,,,
"Gerentes de Hospitalidad, Retail y Servicios",Yes,Yes,50.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gerentes Especialistas,Yes,Yes,20.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0
Encargados de Almacén,Yes,No,-10.0,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,No,20.0,,,,,,,,
Gerentes Especialistas,Yes,Yes,50.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Clerical General,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Asistentes y Vendedores,No,,,,,,,,,,
Representantes y Agentes de Ventas,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Profesionales de la Educación,Yes,No,-30.0,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,20.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0
Asistentes y Vendedores,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Oficios de Alimentación,Yes,Yes,50.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,30.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,2.0
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Gerentes de Oficina y Administradores de Programas,No,,,,,,,,,,
Encargados de Almacén,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,30.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Clerks de Consultas y Recepcionistas,No,,,,,,,,,,
Apoyo de Salud y Bienestar,Yes,No,30.0,,,,,,,,
Obreros de Construcción y Minería,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,30.0,-2.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Gerentes de Oficina y Administradores de Programas,No,,,,,,,,,,
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,30.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,2.0
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,10.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Gerentes Especialistas,Yes,Yes,40.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0
"Gerentes de Hospitalidad, Retail y Servicios",Yes,No,-10.0,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,No,40.0,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,30.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Apoyo Clerical y de Oficina,No,,,,,,,,,,
"Profesionales Legales, Sociales y de Bienestar",No,,,,,,,,,,
Clerical General,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,50.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0
Oficios de Construcción,Yes,Yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soporte de Ventas,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,20.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0
"Profesionales Legales, Sociales y de Bienestar",No,,,,,,,,,,
Gerentes Especialistas,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",No,,,,,,,,,,
Otros Clericales y Administrativos,No,,,,,,,,,,
Otros Clericales y Administrativos,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,50.0,1.0,0.0,-1.0,0.0,2.0,1.0,2.0,2.0
Profesionales de la Educación,Yes,No,-10.0,,,,,,,,
Servicio de Protección,No,,,,,,,,,,
Profesionales de las Artes y los Medios,No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,Yes,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
Habilidad en Cuidado Animal y Horticultura,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,0.0,1.0,1.0,-1.0,1.0,1.0,-1.0,0.0,1.0
Representantes y Agentes de Ventas,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,0.0,1.0,1.0,0.0,0.0,1.0,-1.0,1.0,0.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,20.0,-1.0,0.0,0.0,1.0,1.0,-1.0,1.0,1.0
Profesionales de la Salud,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,No,10.0,,,,,,,,
Otros Técnicos y Oficios,No,,,,,,,,,,
Oficios de Construcción,No,,,,,,,,,,
Profesionales de la Educación,Yes,No,50.0,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,20.0,-1.0,0.0,1.0,2.0,0.0,0.0,-1.0,0.0
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
Clerks Numéricos,No,,,,,,,,,,
Soporte de Ventas,Yes,Yes,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Otros Clericales y Administrativos,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
"Gerentes de Hospitalidad, Retail y Servicios",Yes,Yes,-10.0,-1.0,0.0,1.0,2.0,-1.0,1.0,0.0,-1.0
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Asistentes y Vendedores,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Asistentes Personales y Secretarias,No,,,,,,,,,,
Profesionales de las Artes y los Medios,No,,,,,,,,,,
Gerentes de Oficina y Administradores de Programas,Yes,Yes,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,No,0.0,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,Yes,40.0,1.0,0.0,1.0,2.0,1.0,-1.0,0.0,0.0
Apoyo Clerical y de Oficina,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,50.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Apoyo de Salud y Bienestar,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,20.0,-1.0,-2.0,-1.0,-1.0,-2.0,-1.0,-1.0,0.0
Asistentes Personales y Secretarias,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,30.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,20.0,-1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0
Profesionales de la Salud,No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
Asistentes y Vendedores,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,30.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Clerical General,Yes,Yes,50.0,-2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0
Representantes y Agentes de Ventas,No,,,,,,,,,,
Hospitalidad,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,30.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0
Otros Técnicos y Oficios,No,,,,,,,,,,
Apoyo de Salud y Bienestar,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,50.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,20.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0
Representantes y Agentes de Ventas,No,,,,,,,,,,
Otros Obreros,No,,,,,,,,,,
Clerks Numéricos,No,,,,,,,,,,
Apoyo Clerical y de Oficina,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,50.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0
Agricultores y Gerentes de Granjas,Yes,Yes,30.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,2.0
Otros Técnicos y Oficios,Yes,Yes,20.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,10.0,2.0,2.0,2.0,2.0,-2.0,0.0,-1.0,0.0
Profesionales de la Educación,No,,,,,,,,,,
Profesionales de la Educación,Yes,Yes,10.0,-2.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,30.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0
"Gerentes de Hospitalidad, Retail y Servicios",Yes,Yes,30.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0
Otros Clericales y Administrativos,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,30.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0
Gerentes Especialistas,Yes,No,50.0,,,,,,,,
Gerentes Especialistas,Yes,Yes,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
Gerentes Especialistas,Yes,Yes,30.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0
Apoyo Clerical y de Oficina,No,,,,,,,,,,
Apoyo Clerical y de Oficina,No,,,,,,,,,,
Clerical General,No,,,,,,,,,,
Profesionales de la Salud,No,,,,,,,,,,
Apoyo Clerical y de Oficina,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,0.0,1.0,2.0,2.0,1.0,-1.0,-1.0,1.0,2.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,50.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0
Apoyo de Salud y Bienestar,No,,,,,,,,,,
Otros Clericales y Administrativos,No,,,,,,,,,,
Oficios de Electrotecnología y Telecomunicaciones,No,,,,,,,,,,
Profesionales de la Educación,Yes,Yes,20.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0
"Profesionales Legales, Sociales y de Bienestar",No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,Yes,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Clerks de Consultas y Recepcionistas,Yes,Yes,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Gerentes de Oficina y Administradores de Programas,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,50.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
Otros Clericales y Administrativos,No,,,,,,,,,,
Apoyo Clerical y de Oficina,No,,,,,,,,,,
Profesionales de la Educación,No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
Operadores de Máquinas y Plantas Estacionarias,No,,,,,,,,,,
Asistentes y Vendedores,No,,,,,,,,,,
"Profesionales Legales, Sociales y de Bienestar",No,,,,,,,,,,
Asistentes y Vendedores,No,,,,,,,,,,
Oficios de Electrotecnología y Telecomunicaciones,Yes,Yes,-30.0,1.0,-1.0,1.0,-2.0,-1.0,-1.0,0.0,0.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,20.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0
Asistentes Personales y Secretarias,No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,20.0,-2.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0
Apoyo Clerical y de Oficina,No,,,,,,,,,,
"Profesionales Legales, Sociales y de Bienestar",Yes,Yes,40.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0
Gerentes Especialistas,Yes,Yes,30.0,-1.0,0.0,1.0,-1.0,-1.0,0.0,1.0,1.0
Profesionales de la Salud,No,,,,,,,,,,
Profesionales de la Educación,No,,,,,,,,,,
Gerentes Especialistas,Yes,Yes,30.0,-2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
"Gerentes de Hospitalidad, Retail y Servicios",No,,,,,,,,,,
Gerentes Especialistas,No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
"Gerentes de Hospitalidad, Retail y Servicios",No,,,,,,,,,,
Oficios de Electrotecnología y Telecomunicaciones,Yes,Yes,-10.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,50.0,-2.0,-1.0,-1.0,0.0,1.0,0.0,1.0,1.0
Gerentes Especialistas,Yes,Yes,30.0,-2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
Gerentes de Oficina y Administradores de Programas,No,,,,,,,,,,
Obreros de Construcción y Minería,No,,,,,,,,,,
Otros Clericales y Administrativos,No,,,,,,,,,,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,,,,,,,,,,
"Gerentes de Hospitalidad, Retail y Servicios",Yes,No,-50.0,,,,,,,,
Gerentes Especialistas,Yes,Yes,20.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
Otros Clericales y Administrativos,No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
Oficios de Alimentación,Yes,No,-40.0,,,,,,,,
Apoyo Clerical y de Oficina,No,,,,,,,,,,
Gerentes Especialistas,No,,,,,,,,,,
Profesionales de la Salud,No,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,,,,,,,,,,
"Profesionales Legales, Sociales y de Bienestar",No,,,,,,,,,,
Profesionales de Tecnologías de la Información y Comunicación,No,,,,,,,,,,
"Profesionales Legales, Sociales y de Bienestar",Yes,Yes,20.0,1.0,-1.0,1.0,0.0,1.0,0.0,1.0,0.0
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,30.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
