occupation_d,Mis responsabilidades de cuidado,Conectividad,Software y sistemas de mi organización,Dificultad para colaborar de forma remota,Mala gestión,Equipos informáticos,Sentirse excluido/a y/o aislado/a,Costos adicionales,Ciberseguridad,Tengo tareas que no se pueden realizar de forma remota,Mi espacio de trabajo ,Motivación,La gerencia desalienta el trabajo remoto,Mi situación de vida,Falta de habilidades para trabajar de forma remota,Mi salud y seguridad al trabajar de forma remota,¿Cuáles fueron las barreras más grandes al trabajar de esta manera?,¿Cuáles fueron las barreras más pequeñas al trabajar de esta manera?
Profesionales de la Salud,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dificultad para colaborar con colegas remotos,Interrupciones
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",1.0,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,,
Profesionales de Tecnologías de la Información y Comunicación,,1.0,1.0,,,1.0,1.0,0.0,0.0,,1.0,1.0,,0.0,,0.0,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",0.0,-1.0,0.0,-2.0,0.0,-1.0,-2.0,-2.0,0.0,-1.0,1.0,-2.0,1.0,-1.0,1.0,-1.0,Dificultad para colaborar con colegas remotos,Falta de privacidad
Gerentes de Oficina y Administradores de Programas,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Problemas con la configuración de audio y video,Interrupciones
"Profesionales de Negocios, Recursos Humanos y Marketing",0.0,0.0,0.0,,,,,,,0.0,,0.0,,0.0,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-2.0,-1.0,-2.0,-1.0,-2.0,-1.0,-2.0,-1.0,,
Profesionales de Tecnologías de la Información y Comunicación,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,,
"Profesionales de Negocios, Recursos Humanos y Marketing",1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,Interrupciones,Falta de espacios de trabajo y reuniones adecuados
"Directores Ejecutivos, Gerentes Generales y Legisladores",0.0,0.0,-1.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,Interrupciones,Interrupciones
Profesionales de Tecnologías de la Información y Comunicación,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Profesionales de Tecnologías de la Información y Comunicación,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Interrupciones,Entorno de trabajo ruidoso
Profesionales de las Artes y los Medios,,,,,,0.0,,0.0,,,,0.0,,0.0,,,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,
Profesionales de Tecnologías de la Información y Comunicación,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Profesionales de Tecnologías de la Información y Comunicación,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,Problemas de conectividad/internet,Falta de espacios de trabajo y reuniones adecuados
Gerentes Especialistas,1.0,2.0,1.0,,-2.0,-1.0,-2.0,-1.0,0.0,0.0,0.0,1.0,1.0,2.0,-1.0,2.0,Dificultad para colaborar con colegas remotos,Problemas de conectividad/internet
Oficios de Electrotecnología y Telecomunicaciones,2.0,-2.0,0.0,-1.0,-2.0,0.0,-1.0,-2.0,-1.0,-2.0,1.0,0.0,-2.0,-1.0,-2.0,-1.0,,
Profesionales de Tecnologías de la Información y Comunicación,,,,,,,,,,,,,,,,-1.0,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",1.0,1.0,2.0,,,,,-2.0,,,,,,,,,Falta de espacios de trabajo y reuniones adecuados,Entorno de trabajo ruidoso
Gerentes Especialistas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,-1.0,Interrupciones,Dificultad para innovar
"Gerentes de Hospitalidad, Retail y Servicios",,,,,,,,,,,,,,,,,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,Falta de espacios de trabajo y reuniones adecuados,Problemas con la configuración de audio y video
"Profesionales de Negocios, Recursos Humanos y Marketing",1.0,1.0,1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,0.0,1.0,0.0,-1.0,Problemas de conectividad/internet,Falta de privacidad
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",1.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,1.0,1.0,Dificultad para colaborar con colegas remotos,Falta de privacidad
"Directores Ejecutivos, Gerentes Generales y Legisladores",2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",1.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,1.0,0.0,1.0,0.0,Dificultad para colaborar con colegas remotos,Falta de privacidad
Profesionales de la Educación,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,Entorno de trabajo ruidoso,Falta de espacios de trabajo y reuniones adecuados
Profesionales de la Salud,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,
Habilidad en Cuidado Animal y Horticultura,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,Dificultad para innovar,Problemas con la configuración de audio y video
Profesionales de la Educación,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Dificultad para colaborar con colegas remotos,Problemas de conectividad/internet
"Gerentes de Hospitalidad, Retail y Servicios",-1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,-1.0,0.0,1.0,Interrupciones,Dificultad para innovar
Asistentes Personales y Secretarias,2.0,1.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,-1.0,Problemas con la configuración de audio y video,Entorno de trabajo ruidoso
"Profesionales Legales, Sociales y de Bienestar",-1.0,0.0,2.0,,,,,-1.0,,0.0,-2.0,,-1.0,,,-1.0,,
Gerentes Especialistas,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,-1.0,0.0,Problemas con la configuración de audio y video,Dificultad para colaborar con colegas remotos
Profesionales de Tecnologías de la Información y Comunicación,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,Problemas con la configuración de audio y video,Falta de espacios de trabajo y reuniones adecuados
Gerentes Especialistas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Falta de espacios de trabajo y reuniones adecuados,Problemas de conectividad/internet
Gerentes de Oficina y Administradores de Programas,,,,,,,,,,,,,,,,,Interrupciones,Falta de espacios de trabajo y reuniones adecuados
Apoyo de Salud y Bienestar,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,0.0,-2.0,1.0,0.0,-1.0,-2.0,0.0,-1.0,0.0,Problemas con la configuración de audio y video,Falta de privacidad
Profesionales de la Salud,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Dificultad para innovar,Interrupciones
Gerentes Especialistas,1.0,1.0,-1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,,
Clerical General,,,-1.0,-2.0,-2.0,-1.0,-1.0,-1.0,,,,,,,,,Dificultad para colaborar con colegas remotos,Falta de privacidad
"Directores Ejecutivos, Gerentes Generales y Legisladores",0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,
"Profesionales de Negocios, Recursos Humanos y Marketing",,,,0.0,,-1.0,,2.0,,-1.0,1.0,-1.0,0.0,0.0,1.0,1.0,,
Gerentes Especialistas,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,Dificultad para innovar,Problemas de conectividad/internet
Profesionales de la Educación,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,Problemas de conectividad/internet,Falta de privacidad
"Profesionales de Negocios, Recursos Humanos y Marketing",0.0,-1.0,-1.0,-1.0,0.0,-1.0,-2.0,0.0,,,-2.0,-2.0,0.0,-1.0,-1.0,1.0,,
Oficios de Construcción,,,,,,,,,,,,,,,,,,
Gerentes Especialistas,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,,
Gerentes Especialistas,,,,,,,,,,,,,,,,,,
Gerentes de Oficina y Administradores de Programas,-1.0,-1.0,0.0,-1.0,-1.0,-2.0,0.0,-2.0,-1.0,-1.0,-2.0,-1.0,-2.0,-1.0,-2.0,-1.0,Interrupciones,Dificultad para colaborar con colegas remotos
"Profesionales Legales, Sociales y de Bienestar",-1.0,-1.0,-1.0,-1.0,0.0,0.0,-2.0,-1.0,0.0,1.0,0.0,-1.0,-2.0,-1.0,-1.0,0.0,,
Profesionales de Tecnologías de la Información y Comunicación,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,
"Profesionales de Negocios, Recursos Humanos y Marketing",0.0,0.0,1.0,0.0,,0.0,2.0,,0.0,,0.0,,,0.0,,0.0,,
"Gerentes de Hospitalidad, Retail y Servicios",1.0,-1.0,0.0,-1.0,-1.0,-1.0,-2.0,1.0,0.0,-2.0,-1.0,-1.0,-1.0,1.0,0.0,1.0,Dificultad para colaborar con colegas remotos,Entorno de trabajo ruidoso
Agricultores y Gerentes de Granjas,1.0,-1.0,1.0,-2.0,1.0,-1.0,0.0,1.0,1.0,1.0,-2.0,-1.0,-1.0,1.0,0.0,0.0,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",,,1.0,0.0,0.0,0.0,,2.0,,1.0,,,,,,,,
Clerical General,1.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,2.0,2.0,-1.0,0.0,0.0,1.0,1.0,0.0,Falta de privacidad,Entorno de trabajo ruidoso
"Gerentes de Hospitalidad, Retail y Servicios",1.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,,
Profesionales de la Educación,1.0,0.0,1.0,-2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,Problemas con la configuración de audio y video,Falta de espacios de trabajo y reuniones adecuados
Hospitalidad,-2.0,-2.0,,,,-2.0,-2.0,-1.0,,,-2.0,,-1.0,-2.0,-2.0,-1.0,,
Asistentes Personales y Secretarias,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Entorno de trabajo ruidoso,Problemas de conectividad/internet
Clerical General,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,Entorno de trabajo ruidoso,Falta de privacidad
Profesionales de las Artes y los Medios,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-1.0,0.0,0.0,0.0,,
Asistentes y Vendedores,-2.0,-1.0,0.0,-2.0,-1.0,-1.0,1.0,-2.0,-2.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,,,
"Gerentes de Hospitalidad, Retail y Servicios",0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Interrupciones,Falta de privacidad
"Profesionales Legales, Sociales y de Bienestar",0.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,-1.0,,1.0,0.0,1.0,0.0,0.0,1.0,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",0.0,1.0,1.0,0.0,1.0,1.0,-1.0,-1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",,,,,,,,,,,,,,,,,Interrupciones,Dificultad para innovar
Gerentes Especialistas,0.0,-1.0,-1.0,0.0,1.0,0.0,-1.0,-1.0,0.0,0.0,1.0,-1.0,1.0,0.0,1.0,0.0,,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",-2.0,-2.0,0.0,-1.0,-1.0,-1.0,0.0,2.0,-1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,0.0,Problemas de conectividad/internet,Dificultad para innovar
"Gerentes de Hospitalidad, Retail y Servicios",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Otros Clericales y Administrativos,0.0,1.0,2.0,0.0,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,,0.0,1.0,0.0,Problemas con la configuración de audio y video,Falta de privacidad
Gerentes Especialistas,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Dificultad para colaborar con colegas remotos,Entorno de trabajo ruidoso
"Gerentes de Hospitalidad, Retail y Servicios",0.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,2.0,0.0,-1.0,0.0,1.0,-1.0,Falta de privacidad,Problemas con la configuración de audio y video
Profesionales de la Salud,0.0,2.0,1.0,1.0,0.0,-1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,Problemas con la configuración de audio y video,Interrupciones
Clerical General,0.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,Problemas de conectividad/internet,Falta de privacidad
Profesionales de Tecnologías de la Información y Comunicación,-1.0,0.0,1.0,2.0,-2.0,1.0,-1.0,-1.0,2.0,1.0,-2.0,1.0,-1.0,2.0,2.0,-1.0,,
Apoyo Clerical y de Oficina,2.0,2.0,2.0,0.0,,2.0,1.0,,2.0,,2.0,2.0,,1.0,,0.0,,
"Profesionales de Negocios, Recursos Humanos y Marketing",,0.0,1.0,-1.0,,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,,,Dificultad para colaborar con colegas remotos,Falta de espacios de trabajo y reuniones adecuados
"Directores Ejecutivos, Gerentes Generales y Legisladores",2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,
Gerentes Especialistas,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,,,-1.0,0.0,,0.0,0.0,1.0,Problemas de conectividad/internet,Falta de privacidad
Gerentes Especialistas,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,
"Gerentes de Hospitalidad, Retail y Servicios",0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,,
"Gerentes de Hospitalidad, Retail y Servicios",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
Gerentes Especialistas,1.0,2.0,2.0,2.0,2.0,2.0,,0.0,-2.0,1.0,-1.0,2.0,2.0,1.0,1.0,2.0,Falta de privacidad,Falta de espacios de trabajo y reuniones adecuados
Encargados de Almacén,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,Entorno de trabajo ruidoso,Interrupciones
"Directores Ejecutivos, Gerentes Generales y Legisladores",0.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,0.0,-1.0,1.0,1.0,0.0,0.0,2.0,,
Gerentes Especialistas,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Dificultad para innovar,Problemas con la configuración de audio y video
Clerical General,0.0,-2.0,-1.0,0.0,-2.0,1.0,-1.0,,1.0,2.0,1.0,-2.0,-1.0,-2.0,0.0,-1.0,Interrupciones,Problemas de conectividad/internet
Profesionales de Tecnologías de la Información y Comunicación,,,,,,,,,,,,,,,,,Entorno de trabajo ruidoso,Problemas de conectividad/internet
Asistentes y Vendedores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Representantes y Agentes de Ventas,,2.0,0.0,1.0,0.0,0.0,,,0.0,2.0,2.0,2.0,1.0,,0.0,2.0,,
"Profesionales de Negocios, Recursos Humanos y Marketing",1.0,-1.0,1.0,1.0,,1.0,-2.0,1.0,0.0,-2.0,1.0,1.0,,2.0,,1.0,,
Profesionales de la Educación,,,-1.0,-1.0,-2.0,-2.0,0.0,-2.0,-1.0,-2.0,-1.0,-1.0,-2.0,0.0,-2.0,0.0,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",1.0,0.0,0.0,2.0,1.0,1.0,-1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,,
Asistentes y Vendedores,,,,,,,,,1.0,,,,,,,,Entorno de trabajo ruidoso,Interrupciones
"Profesionales de Negocios, Recursos Humanos y Marketing",,,,,,,,,,,,,,,,,Falta de privacidad,Entorno de trabajo ruidoso
Oficios de Alimentación,-1.0,-2.0,0.0,1.0,-1.0,1.0,-2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,
"Directores Ejecutivos, Gerentes Generales y Legisladores",2.0,1.0,0.0,1.0,0.0,1.0,-1.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,,
"Profesionales de Negocios, Recursos Humanos y Marketing",0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,
Gerentes de Oficina y Administradores de Programas,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,Dificultad para colaborar con colegas remotos,Interrupciones
Encargados de Almacén,,,,,,,,,,0.0,,,0.0,1.0,,,,
Gerentes Especialistas,,,,,,-1.0,-1.0,2.0,1.0,,,1.0,,,,1.0,,
Clerks de Consultas y Recepcionistas,1.0,0.0,0.0,-1.0,0.0,0.0,-2.0,1.0,0.0,0.0,1.0,-1.0,-1.0,2.0,0.0,0.0,Entorno de trabajo ruidoso,Dificultad para colaborar con colegas remotos
