occupation_d,¿Tu empleador ha cambiado o actualizado su política sobre el trabajo remoto desde COVID-19?,¿Has trabajado alguna vez parte de tu día de forma remota y parte en el lugar de trabajo de tu empleador (2021)?,¿Con qué frecuencia trabajas de esta manera?,¿Con qué frecuencia te gustaría trabajar de esta manera?,¿Tu empleador tiene una política que requiere que los trabajadores estén en el lugar de trabajo del empleador parte del tiempo?,¿Cuánto tiempo de tu jornada laboral requiere la política de tu empleador que estés en su lugar de trabajo?,(prw) La política de trabajo remoto de mi empleador me conviene,(prw) Puedo elegir cuánto trabajo hago de forma remota,(prw) Elijo en qué días trabajo de forma remota,(prw) Mi supervisor directo tiene la discreción de permitir o denegar el trabajo remoto,¿Cómo te sientes acerca de la política de trabajo remoto de tu empleador?,¿Estarías interesado/a en negociar el trabajo remoto?,¿Cuál es la mayor reducción de salario que aceptarías?
Profesionales de la Educación,No,Yes,30.0,40.0,Yes,100% - All of my time,-1,-1,-1,-1,Somewhat Positive,No,
"Gerentes de Hospitalidad, Retail y Servicios",No,Yes,20.0,20.0,Yes,30%,0,0,1,0,Somewhat Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,10.0,10.0,Yes,10%,2,0,1,1,Strongly Positive,Yes,0.1
Gerentes Especialistas,Yes,Yes,30.0,30.0,Yes,60%,2,1,1,2,Strongly Positive,Yes,0.1
Soporte de Ventas,Yes,No,,,Yes,20%,1,-1,-1,1,Somewhat Positive,No,
Hospitalidad,No,Yes,30.0,20.0,Yes,10%,1,1,1,1,Somewhat Positive,Yes,0.05
Gerentes Especialistas,No,Yes,30.0,30.0,No,,1,1,1,2,Strongly Positive,No,
Gerentes Especialistas,Yes,Yes,50.0,50.0,No,,0,1,1,0,Neither positive nor negative,Yes,0.1
Gerentes Especialistas,Yes,No,,,No,,2,2,2,2,Neither positive nor negative,Yes,0.2
Clerical General,Yes,Yes,100.0,100.0,No,,2,2,2,2,Strongly Positive,Yes,0.05
Gerentes Especialistas,No,No,,,No,,2,2,2,2,Strongly Positive,No,
Clerical General,No,No,,,Yes,50% - About half of my time,2,0,2,0,Strongly Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,10.0,20.0,Yes,80%,1,1,1,0,Somewhat Positive,Yes,0.16
Apoyo Clerical y de Oficina,No,No,,,Unsure,,2,2,2,2,Strongly Positive,Yes,0.75
Profesionales de Tecnologías de la Información y Comunicación,Yes,No,,,No,,1,2,2,2,Somewhat Positive,Yes,0.05
Habilidad en Cuidado Animal y Horticultura,No,Yes,30.0,50.0,Unsure,,0,0,-1,0,Strongly Positive,No,
Profesionales de Tecnologías de la Información y Comunicación,Yes,No,,,No,,2,2,2,-2,Strongly Positive,No,
Profesionales de la Educación,No,Yes,50.0,50.0,Yes,30%,0,1,2,0,Neither positive nor negative,Yes,0.2
Profesionales de Tecnologías de la Información y Comunicación,Yes,No,,,No,,2,2,2,2,Strongly Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",No,Yes,20.0,20.0,Yes,80%,1,0,0,1,Neither positive nor negative,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,No,,,Yes,90%,1,1,1,2,Strongly Positive,No,
Gerentes Especialistas,No,Yes,60.0,60.0,Yes,80%,0,2,2,-1,Neither positive nor negative,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,50.0,70.0,Yes,30%,1,1,1,1,Strongly Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",No,No,,,No,,0,1,2,1,Strongly Positive,No,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,No,,,No,,1,2,1,2,Strongly Positive,Yes,1.0
"Profesionales Legales, Sociales y de Bienestar",Yes,Yes,10.0,10.0,No,,2,1,1,2,Strongly Positive,No,
Profesionales de la Salud,Yes,Yes,20.0,20.0,No,,2,2,2,-2,Strongly Positive,No,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,No,,,Yes,90%,0,0,0,1,Somewhat Positive,No,
Profesionales de Tecnologías de la Información y Comunicación,No,Yes,50.0,50.0,Yes,50% - About half of my time,1,1,1,1,Somewhat Positive,No,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,Yes,40.0,10.0,Unsure,,1,1,1,1,Somewhat Positive,No,
Gerentes de Oficina y Administradores de Programas,No,No,,,Yes,50% - About half of my time,1,-1,1,1,Neither positive nor negative,No,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,Yes,90.0,80.0,No,,1,0,0,1,Somewhat Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,30.0,30.0,Yes,20%,1,1,0,1,Somewhat Positive,No,
Profesionales de Tecnologías de la Información y Comunicación,No,Yes,10.0,10.0,No,,2,2,2,2,Somewhat Positive,No,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,Yes,20.0,60.0,No,,1,1,2,1,Strongly Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,40.0,50.0,Yes,50% - About half of my time,1,-1,0,0,Somewhat Positive,No,
Profesionales de Tecnologías de la Información y Comunicación,No,No,,,No,,0,0,0,0,Neither positive nor negative,No,
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,80.0,80.0,Yes,20%,1,0,1,0,Somewhat Positive,No,
Profesionales de las Artes y los Medios,No,No,,,No,,2,2,2,0,Strongly Positive,Yes,0.2
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,20.0,20.0,Yes,30%,1,1,2,2,Strongly Positive,Yes,0.6
Profesionales de Tecnologías de la Información y Comunicación,Yes,No,,,No,,2,2,2,-1,Strongly Positive,No,
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,80.0,90.0,Yes,80%,1,2,2,2,Strongly Positive,Yes,0.8
Gerentes Especialistas,Yes,Yes,60.0,70.0,Yes,70%,2,0,1,1,Somewhat Positive,No,
Oficios de Electrotecnología y Telecomunicaciones,Yes,Yes,70.0,30.0,Yes,30%,0,1,1,1,Somewhat Positive,No,
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,80.0,80.0,Yes,20%,1,-1,-1,0,Neither positive nor negative,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,50.0,20.0,No,,2,2,2,0,Strongly Positive,No,
Gerentes Especialistas,Yes,Yes,10.0,10.0,No,,2,2,2,2,Strongly Positive,No,
"Gerentes de Hospitalidad, Retail y Servicios",No,Yes,100.0,100.0,Yes,100% - All of my time,2,2,2,0,Strongly Positive,Yes,0.01
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,No,,,No,,2,0,1,-2,Strongly Positive,No,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,10.0,10.0,Yes,10%,1,1,1,1,Strongly Positive,No,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,Yes,20.0,50.0,No,,0,-1,-1,1,Somewhat Positive,Yes,0.1
"Directores Ejecutivos, Gerentes Generales y Legisladores",No,Yes,40.0,90.0,Yes,20%,0,1,1,0,Somewhat Positive,No,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,Yes,50.0,50.0,Yes,60%,1,0,0,2,Somewhat Positive,No,
Profesionales de la Educación,Yes,No,,,No,,1,0,-1,1,Somewhat Positive,Yes,0.05
Profesionales de la Salud,Yes,No,,,Unsure,,1,1,1,1,Somewhat Positive,No,
Habilidad en Cuidado Animal y Horticultura,No,No,,,Yes,20%,1,1,1,0,Somewhat Positive,No,
Profesionales de la Educación,No,No,,,Yes,100% - All of my time,2,-2,-2,2,Strongly Positive,No,
"Gerentes de Hospitalidad, Retail y Servicios",Yes,No,,,Yes,20%,0,1,1,1,Somewhat Positive,Yes,0.5
Asistentes Personales y Secretarias,Yes,Yes,60.0,60.0,Yes,40%,2,2,2,1,Strongly Positive,Yes,0.05
"Profesionales Legales, Sociales y de Bienestar",Yes,Yes,30.0,70.0,Yes,100% - All of my time,-2,-2,-1,1,Somewhat Negative,No,
Gerentes Especialistas,Yes,Yes,100.0,100.0,No,,2,2,2,2,Somewhat Positive,No,
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,10.0,10.0,No,,1,0,0,0,Somewhat Positive,No,
Gerentes Especialistas,No,No,,,No,,2,2,2,2,Strongly Positive,No,
Gerentes de Oficina y Administradores de Programas,Yes,Yes,100.0,100.0,No,,2,-2,2,0,Strongly Positive,No,
Apoyo de Salud y Bienestar,Yes,No,,,Yes,Less than 10% of my time,0,1,1,-1,Somewhat Negative,No,
Profesionales de la Salud,No,Yes,70.0,60.0,No,,0,0,0,0,Neither positive nor negative,No,
Gerentes Especialistas,No,No,,,Unsure,,1,2,1,0,Somewhat Negative,No,
Clerical General,Yes,Yes,10.0,10.0,No,,1,1,1,1,Somewhat Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",No,Yes,30.0,30.0,No,,0,0,1,2,Neither positive nor negative,Yes,0.1
"Profesionales de Negocios, Recursos Humanos y Marketing",No,Yes,30.0,20.0,No,,2,2,2,2,Strongly Positive,Yes,0.15
Gerentes Especialistas,Yes,Yes,10.0,40.0,Yes,100% - All of my time,-2,-2,-2,-2,Strongly Negative,No,
Profesionales de la Educación,Yes,Yes,50.0,50.0,Unsure,,1,0,1,2,Somewhat Positive,Yes,0.04
"Profesionales de Negocios, Recursos Humanos y Marketing",No,No,,,Unsure,,0,0,1,2,Neither positive nor negative,Yes,0.1
Oficios de Construcción,Yes,No,,,No,,2,0,-2,-2,Strongly Positive,No,
Gerentes Especialistas,Yes,No,,,No,,0,1,1,0,Neither positive nor negative,No,
Gerentes Especialistas,No,No,,,Yes,100% - All of my time,-2,-2,-2,2,Strongly Negative,No,
Gerentes de Oficina y Administradores de Programas,Yes,Yes,50.0,30.0,No,,1,0,0,-1,Neither positive nor negative,Yes,0.1
"Profesionales Legales, Sociales y de Bienestar",Yes,Yes,40.0,40.0,Yes,60%,-1,1,0,1,Somewhat Positive,No,
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,70.0,70.0,Yes,70%,1,0,1,1,Strongly Positive,Yes,0.8
"Profesionales de Negocios, Recursos Humanos y Marketing",No,Yes,100.0,80.0,No,,1,2,2,-2,Strongly Positive,No,
"Gerentes de Hospitalidad, Retail y Servicios",Yes,Yes,10.0,10.0,Yes,40%,2,2,2,2,Strongly Positive,No,
Agricultores y Gerentes de Granjas,Yes,Yes,30.0,10.0,Yes,40%,1,0,1,-1,Somewhat Negative,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,10.0,10.0,Yes,20%,2,2,2,0,Somewhat Positive,Yes,0.05
Clerical General,Yes,Yes,60.0,60.0,Yes,70%,0,0,1,-1,Neither positive nor negative,No,
"Gerentes de Hospitalidad, Retail y Servicios",Yes,Yes,30.0,30.0,Yes,20%,2,0,1,2,Somewhat Positive,No,
Profesionales de la Educación,No,Yes,70.0,70.0,Unsure,,1,2,1,0,Somewhat Positive,No,
Hospitalidad,Yes,Yes,50.0,30.0,No,,-1,-2,-2,-1,Somewhat Positive,Yes,0.2
Asistentes Personales y Secretarias,Yes,No,,,No,,2,1,1,2,Somewhat Positive,Yes,0.15
Clerical General,Yes,No,,,Yes,40%,2,2,2,2,Strongly Positive,Yes,0.1
Profesionales de las Artes y los Medios,Yes,No,,,Unsure,,-1,-1,-1,0,Neither positive nor negative,Yes,0.1
Asistentes y Vendedores,Yes,Yes,10.0,30.0,Yes,10%,0,1,1,-1,Somewhat Positive,Yes,0.34
"Gerentes de Hospitalidad, Retail y Servicios",Yes,Yes,20.0,20.0,Yes,50% - About half of my time,1,1,1,1,Somewhat Positive,Yes,0.8
"Profesionales Legales, Sociales y de Bienestar",No,No,,,No,,2,2,1,-1,Strongly Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,10.0,10.0,Yes,10%,2,1,2,1,Strongly Positive,No,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,No,,,No,,2,1,2,2,Strongly Positive,No,
Gerentes Especialistas,Yes,Yes,40.0,40.0,Yes,40%,1,0,0,1,Neither positive nor negative,No,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,Yes,80.0,50.0,Yes,40%,1,-1,-1,2,Somewhat Positive,No,
"Gerentes de Hospitalidad, Retail y Servicios",No,No,,,No,,0,0,0,0,Neither positive nor negative,No,
Otros Clericales y Administrativos,Yes,No,,,Unsure,,0,1,1,1,Somewhat Positive,No,
Gerentes Especialistas,No,No,,,No,,1,1,1,2,Somewhat Positive,No,
"Gerentes de Hospitalidad, Retail y Servicios",Yes,Yes,50.0,40.0,Yes,50% - About half of my time,1,0,1,1,Somewhat Positive,Yes,0.4
Profesionales de la Salud,Yes,Yes,20.0,20.0,No,,1,0,2,1,Somewhat Positive,No,
Clerical General,Yes,Yes,100.0,100.0,No,,2,1,1,1,Somewhat Positive,No,
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,50.0,60.0,Yes,20%,0,0,0,0,Neither positive nor negative,Yes,0.6
Apoyo Clerical y de Oficina,Yes,No,,,No,,2,-2,-2,2,Strongly Positive,Yes,0.1
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,10.0,10.0,Yes,20%,1,1,1,1,Somewhat Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,No,,,No,,2,2,2,2,Strongly Positive,Yes,0.1
Gerentes Especialistas,Yes,Yes,60.0,80.0,Yes,40%,1,2,2,-1,Somewhat Positive,No,
Gerentes Especialistas,Yes,Yes,50.0,50.0,Yes,50% - About half of my time,1,2,1,1,Strongly Positive,Yes,0.1
"Gerentes de Hospitalidad, Retail y Servicios",Yes,Yes,10.0,10.0,Yes,10%,1,1,2,2,Strongly Positive,No,
"Gerentes de Hospitalidad, Retail y Servicios",Yes,Yes,50.0,50.0,Yes,50% - About half of my time,1,1,1,1,Somewhat Positive,No,
Gerentes Especialistas,Yes,No,,,Yes,60%,1,2,2,2,Strongly Positive,Yes,0.1
Encargados de Almacén,Yes,Yes,10.0,10.0,Yes,90%,-1,-1,0,-1,Somewhat Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,40.0,50.0,Yes,60%,1,1,0,2,Somewhat Negative,Yes,0.4
Gerentes Especialistas,Yes,Yes,50.0,50.0,Yes,50% - About half of my time,1,1,1,1,Somewhat Positive,Yes,0.1
Clerical General,Yes,Yes,20.0,60.0,Unsure,,0,0,0,1,Neither positive nor negative,No,
Profesionales de Tecnologías de la Información y Comunicación,Yes,No,,,No,,1,2,2,0,Strongly Positive,No,
Asistentes y Vendedores,No,No,,,Unsure,,0,-2,-2,-2,Neither positive nor negative,No,
Representantes y Agentes de Ventas,Yes,Yes,10.0,50.0,Yes,100% - All of my time,-1,-2,-2,1,Somewhat Positive,Yes,0.1
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,No,,,No,,2,2,2,-1,Strongly Positive,No,
Profesionales de la Educación,Yes,No,,,Yes,100% - All of my time,0,1,-1,2,Somewhat Negative,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,40.0,60.0,Yes,60%,1,2,2,1,Somewhat Negative,Yes,0.4
Asistentes y Vendedores,No,Yes,10.0,10.0,Unsure,,2,2,2,2,Strongly Positive,No,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,No,,,Unsure,,2,1,1,2,Strongly Positive,No,
Oficios de Alimentación,Yes,Yes,30.0,50.0,Yes,10%,1,-2,1,1,Somewhat Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,60.0,80.0,No,,1,0,1,2,Strongly Positive,Yes,0.2
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,No,,,No,,1,1,1,1,Somewhat Positive,No,
Gerentes de Oficina y Administradores de Programas,Yes,No,,,No,,2,0,0,0,Somewhat Positive,Yes,0.05
Encargados de Almacén,Yes,Yes,10.0,10.0,Yes,100% - All of my time,0,-2,-2,0,Neither positive nor negative,No,
Gerentes Especialistas,No,Yes,40.0,100.0,No,,1,1,1,1,Strongly Positive,No,
Clerks de Consultas y Recepcionistas,Yes,Yes,50.0,50.0,Unsure,,1,0,0,-1,Somewhat Positive,No,
Apoyo de Salud y Bienestar,No,No,,,Unsure,,-2,-1,1,-2,Strongly Negative,Yes,0.1
Obreros de Construcción y Minería,No,No,,,Unsure,,1,1,0,1,Neither positive nor negative,No,
Gerentes Especialistas,Yes,Yes,50.0,50.0,Unsure,,2,2,2,-1,Somewhat Positive,No,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,10.0,10.0,Yes,40%,0,-2,1,2,Neither positive nor negative,Yes,0.1
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,70.0,100.0,Yes,40%,0,-1,-1,1,Neither positive nor negative,No,
Gerentes de Oficina y Administradores de Programas,Yes,No,,,No,,2,2,1,1,Strongly Positive,No,
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",Yes,No,,,Yes,20%,1,-1,1,2,Strongly Positive,Yes,0.1
Gerentes Especialistas,Yes,Yes,30.0,30.0,Yes,30%,1,2,1,2,Strongly Positive,Yes,0.6
"Profesionales de Negocios, Recursos Humanos y Marketing",No,No,,,Yes,80%,1,0,1,0,Somewhat Positive,No,
Gerentes Especialistas,Yes,Yes,30.0,10.0,Yes,10%,1,-1,1,0,Neither positive nor negative,Yes,0.1
Gerentes Especialistas,Yes,Yes,40.0,50.0,Yes,30%,2,1,1,2,Somewhat Positive,Yes,0.6
"Gerentes de Hospitalidad, Retail y Servicios",No,Yes,10.0,10.0,Unsure,,0,-2,-2,0,Neither positive nor negative,No,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,No,,,Yes,50% - About half of my time,0,-2,-1,1,Somewhat Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,50.0,40.0,Yes,40%,2,2,2,1,Strongly Positive,No,
Apoyo Clerical y de Oficina,Yes,Yes,60.0,50.0,Yes,50% - About half of my time,2,1,0,1,Somewhat Positive,No,
"Profesionales Legales, Sociales y de Bienestar",Yes,No,,,Yes,80%,-2,-1,-2,2,Somewhat Negative,No,
Clerical General,Yes,Yes,10.0,10.0,Yes,Less than 10% of my time,0,0,1,0,Neither positive nor negative,Yes,0.1
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,No,,,No,,2,0,0,0,Somewhat Positive,No,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,No,,,No,,1,-1,0,-1,Strongly Positive,No,
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,70.0,50.0,No,,2,2,1,1,Strongly Positive,No,
Oficios de Construcción,Yes,Yes,50.0,50.0,Yes,50% - About half of my time,0,0,0,0,Somewhat Positive,Yes,0.15
Soporte de Ventas,Yes,Yes,60.0,60.0,Unsure,,1,1,1,0,Somewhat Positive,No,
Gerentes Especialistas,Yes,Yes,30.0,30.0,No,,1,1,1,2,Somewhat Positive,Yes,0.05
"Profesionales Legales, Sociales y de Bienestar",Yes,Yes,30.0,40.0,Yes,60%,-1,-2,1,0,Somewhat Positive,No,
Gerentes Especialistas,No,No,,,No,,0,0,2,2,Somewhat Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",No,Yes,10.0,10.0,Unsure,,0,0,1,2,Neither positive nor negative,No,
Otros Clericales y Administrativos,No,No,,,Yes,100% - All of my time,-2,-2,-2,2,Strongly Negative,Yes,0.1
Otros Clericales y Administrativos,Yes,Yes,10.0,10.0,No,,1,1,1,1,Somewhat Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",No,No,,,No,,0,1,1,1,Somewhat Positive,Yes,0.1
Profesionales de la Educación,Yes,No,,,Yes,100% - All of my time,1,1,1,1,Somewhat Positive,No,
Servicio de Protección,Yes,No,,,Yes,10%,-2,2,2,0,Neither positive nor negative,No,
Profesionales de las Artes y los Medios,Yes,Yes,20.0,40.0,No,,1,1,0,-1,Somewhat Negative,No,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,Yes,100.0,100.0,Yes,20%,1,0,1,1,Somewhat Positive,No,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,No,,,Yes,50% - About half of my time,2,2,2,2,Neither positive nor negative,No,
Habilidad en Cuidado Animal y Horticultura,Yes,No,,,Yes,60%,1,1,1,0,Somewhat Positive,Yes,0.05
Gerentes Especialistas,Yes,Yes,10.0,10.0,Yes,100% - All of my time,-2,-2,-2,0,Strongly Negative,No,
Representantes y Agentes de Ventas,No,Yes,90.0,100.0,Yes,20%,0,0,0,0,Neither positive nor negative,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,10.0,10.0,No,,2,-1,2,1,Somewhat Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,10.0,10.0,No,,1,1,2,1,Strongly Positive,No,
Profesionales de la Salud,Yes,Yes,40.0,10.0,No,,0,-2,-2,2,Somewhat Negative,No,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,No,,,Unsure,,-2,-2,-2,2,Strongly Negative,No,
Otros Técnicos y Oficios,Yes,No,,,No,,2,-2,-2,-2,Strongly Positive,No,
Oficios de Construcción,No,Yes,10.0,10.0,No,,2,1,-2,-1,Strongly Positive,No,
Profesionales de la Educación,Yes,No,,,Yes,100% - All of my time,-2,-2,-2,2,Strongly Negative,Yes,0.05
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,30.0,20.0,Yes,40%,1,2,2,1,Strongly Negative,Yes,0.5
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,No,,,Yes,20%,2,1,-1,1,Strongly Positive,No,
Clerks Numéricos,Yes,Yes,10.0,50.0,Yes,60%,0,-1,0,1,Neither positive nor negative,No,
Soporte de Ventas,Yes,Yes,30.0,50.0,Yes,30%,-1,0,0,-1,Somewhat Positive,Yes,0.5
Otros Clericales y Administrativos,Yes,No,,,Unsure,,-2,-2,-2,2,Strongly Negative,Yes,0.2
Profesionales de Tecnologías de la Información y Comunicación,Yes,No,,,Yes,Less than 10% of my time,1,1,0,1,Somewhat Positive,No,
"Gerentes de Hospitalidad, Retail y Servicios",Yes,No,,,Yes,100% - All of my time,2,2,2,2,Strongly Positive,No,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,No,,,No,,2,2,2,-1,Strongly Positive,Yes,0.15
Asistentes y Vendedores,Yes,Yes,10.0,10.0,Unsure,,1,0,-1,0,Neither positive nor negative,No,
Profesionales de Tecnologías de la Información y Comunicación,No,Yes,20.0,70.0,No,,-1,0,-2,-2,Somewhat Positive,Yes,0.3
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,No,,,Yes,20%,1,1,2,1,Strongly Positive,Yes,0.1
Asistentes Personales y Secretarias,Yes,No,,,No,,2,2,2,1,Strongly Positive,No,
Profesionales de las Artes y los Medios,No,No,,,No,,2,2,2,0,Strongly Positive,Yes,0.1
Gerentes de Oficina y Administradores de Programas,No,No,,,Yes,20%,2,2,2,0,Strongly Positive,Yes,0.05
"Directores Ejecutivos, Gerentes Generales y Legisladores",No,No,,,No,,0,-1,1,2,Strongly Positive,No,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,Yes,10.0,10.0,Unsure,,2,1,0,1,Somewhat Positive,Yes,0.02
Apoyo Clerical y de Oficina,Yes,No,,,No,,1,1,1,1,Strongly Positive,Yes,0.1
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,50.0,50.0,Yes,50% - About half of my time,1,2,1,1,Strongly Positive,Yes,0.57
Apoyo de Salud y Bienestar,Yes,No,,,No,,0,1,-1,-1,Somewhat Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,50.0,10.0,Yes,50% - About half of my time,-2,-1,0,-1,Neither positive nor negative,Yes,0.12
Asistentes Personales y Secretarias,No,No,,,Yes,50% - About half of my time,0,0,1,2,Somewhat Positive,No,
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,10.0,10.0,Yes,10%,1,0,0,0,Strongly Positive,No,
Gerentes Especialistas,No,No,,,Yes,80%,-1,-1,1,1,Somewhat Negative,Yes,0.1
"Profesionales de Negocios, Recursos Humanos y Marketing",No,No,,,No,,2,2,2,-2,Strongly Positive,No,
Gerentes Especialistas,No,Yes,20.0,10.0,Yes,20%,2,2,2,-1,Strongly Positive,No,
Profesionales de la Salud,Yes,Yes,20.0,10.0,Yes,80%,-2,-1,1,2,Somewhat Negative,Yes,0.1
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,No,,,No,,2,1,1,-1,Strongly Positive,No,
Asistentes y Vendedores,No,No,,,No,,0,1,0,-1,Somewhat Negative,No,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,50.0,50.0,Yes,50% - About half of my time,1,-1,0,1,Somewhat Positive,Yes,0.1
Gerentes Especialistas,No,Yes,50.0,50.0,No,,1,1,1,2,Somewhat Positive,No,
Clerical General,Yes,Yes,100.0,50.0,Yes,80%,-1,-2,-2,2,Somewhat Positive,Yes,0.05
Representantes y Agentes de Ventas,No,Yes,20.0,20.0,No,,2,0,0,2,Strongly Positive,No,
