occupation_d,barrera más significativa para realizar tu trabajo de forma remota,barrera menos significativa para realizar tu trabajo de forma remota,mejor aspecto del trabajo remoto para ti,peor aspecto del trabajo remoto para ti
Otros Clericales y Administrativos,Conectividad (conexión a internet),Responsabilidades de cuidado,Mis gastos diarios,Mis oportunidades de socializar
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Dificultad para colaborar de forma remota,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
"Directores Ejecutivos, Gerentes Generales y Legisladores",Dificultad para colaborar de forma remota,Conectividad (conexión a internet),Gestionar mis compromisos personales,Mis relaciones laborales
"Profesionales Legales, Sociales y de Bienestar",Dificultad para colaborar de forma remota,Responsabilidades de cuidado,Mis gastos diarios,Mi bienestar mental
Otros Clericales y Administrativos,Falta de motivación,Sentirse excluido y/o aislado,Mis oportunidades de socializar,Preparación para el trabajo y el desplazamiento
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Dificultad para colaborar de forma remota,Sentirse excluido y/o aislado,Mis relaciones laborales,Gestionar mis responsabilidades familiares
Profesionales de la Educación,Gestión deficiente,Equipos de IT ,Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
"Directores Ejecutivos, Gerentes Generales y Legisladores",Falta de motivación,El software y los sistemas de mi organización,Gestionar mis compromisos personales,La cantidad de horas que trabajo
Gerentes Especialistas,Sentirse excluido y/o aislado,Conectividad (conexión a internet),Preparación para el trabajo y el desplazamiento,Mi equilibrio entre el trabajo y la vida personal
Gerentes Especialistas,Mi situación de vida,Conectividad (conexión a internet),Mis gastos diarios,Mi equilibrio entre el trabajo y la vida personal
"Directores Ejecutivos, Gerentes Generales y Legisladores",Conectividad (conexión a internet),Tengo tareas que no se pueden realizar de forma remota,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
Clerical General,Sentirse excluido y/o aislado,Conectividad (conexión a internet),Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
Asistentes Personales y Secretarias,Sentirse excluido y/o aislado,Ciberseguridad,Gestionar mis compromisos personales,Mis oportunidades de socializar
Gerentes Especialistas,Sentirse excluido y/o aislado,Mi situación de vida,Mis gastos diarios,La cantidad de horas que trabajo
Profesionales de la Educación,Dificultad para colaborar de forma remota,Equipos de IT ,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
"Profesionales de Negocios, Recursos Humanos y Marketing",Gestión deficiente,Mi situación de vida,Mi bienestar mental,Gestionar mis responsabilidades familiares
Gerentes Especialistas,Mi situación de vida,Conectividad (conexión a internet),Gestionar mis responsabilidades familiares,Mis relaciones laborales
Profesionales de las Artes y los Medios,Falta de motivación,Responsabilidades de cuidado,Mi satisfacción laboral,Mi bienestar mental
Profesionales de Tecnologías de la Información y Comunicación,Sentirse excluido y/o aislado,Falta de motivación,Mis gastos diarios,Mi bienestar mental
Apoyo de Salud y Bienestar,Falta de motivación,Dificultad para colaborar de forma remota,Mi bienestar mental,Gestionar mis responsabilidades familiares
Gerentes Especialistas,Dificultad para colaborar de forma remota,Mi espacio de trabajo,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
Representantes y Agentes de Ventas,Sentirse excluido y/o aislado,El software y los sistemas de mi organización,Mis gastos diarios,Mis relaciones laborales
"Profesionales Legales, Sociales y de Bienestar",Falta de motivación,La dirección desalienta el trabajo remoto,Gestionar mis responsabilidades familiares,Mi satisfacción laboral
Profesionales de la Salud,Conectividad (conexión a internet),Responsabilidades de cuidado,Preparación para el trabajo y el desplazamiento,Mi bienestar mental
Gerentes Especialistas,La dirección desalienta el trabajo remoto,Gestión deficiente,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Gerentes Especialistas,Dificultad para colaborar de forma remota,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Preparación para el trabajo y el desplazamiento
Gerentes Especialistas,Sentirse excluido y/o aislado,Ciberseguridad,Mis oportunidades de socializar,La cantidad de horas que trabajo
Apoyo Clerical y de Oficina,Falta de motivación,Equipos de IT ,Gestionar mis responsabilidades familiares,La cantidad de horas que trabajo
Profesionales de las Artes y los Medios,Dificultad para colaborar de forma remota,Mi situación de vida,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
Representantes y Agentes de Ventas,Falta de motivación,Conectividad (conexión a internet),Gestionar mis responsabilidades familiares,La cantidad de horas que trabajo
"Directores Ejecutivos, Gerentes Generales y Legisladores",Sentirse excluido y/o aislado,Responsabilidades de cuidado,Gestionar mis compromisos personales,Mis relaciones laborales
"Directores Ejecutivos, Gerentes Generales y Legisladores",El software y los sistemas de mi organización,Falta de motivación,Mi bienestar mental,Mis relaciones laborales
Oficios de Electrotecnología y Telecomunicaciones,Sentirse excluido y/o aislado,Conectividad (conexión a internet),Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
Profesionales de Tecnologías de la Información y Comunicación,Responsabilidades de cuidado,Conectividad (conexión a internet),Gestionar mis responsabilidades familiares,Mis relaciones laborales
"Gerentes de Hospitalidad, Retail y Servicios",Equipos de IT ,Responsabilidades de cuidado,Preparación para el trabajo y el desplazamiento,La cantidad de horas que trabajo
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Sentirse excluido y/o aislado,Conectividad (conexión a internet),Mis gastos diarios,Gestionar mis responsabilidades familiares
"Profesionales Legales, Sociales y de Bienestar",Sentirse excluido y/o aislado,Conectividad (conexión a internet),Mi equilibrio entre el trabajo y la vida personal,La cantidad de horas que trabajo
Gerentes Especialistas,El software y los sistemas de mi organización,Mi situación de vida,Mi equilibrio entre el trabajo y la vida personal,Preparación para el trabajo y el desplazamiento
Gerentes Especialistas,Sentirse excluido y/o aislado,Mi situación de vida,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Gerentes Especialistas,Mi espacio de trabajo,La dirección desalienta el trabajo remoto,Preparación para el trabajo y el desplazamiento,La cantidad de horas que trabajo
"Profesionales de Negocios, Recursos Humanos y Marketing",Conectividad (conexión a internet),Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,La cantidad de horas que trabajo
Profesionales de la Educación,Dificultad para colaborar de forma remota,Conectividad (conexión a internet),Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
"Profesionales de Negocios, Recursos Humanos y Marketing",Sentirse excluido y/o aislado,Conectividad (conexión a internet),Mi equilibrio entre el trabajo y la vida personal,La cantidad de horas que trabajo
Gerentes Especialistas,Falta de motivación,Conectividad (conexión a internet),Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Gerentes de Oficina y Administradores de Programas,Sentirse excluido y/o aislado,Sentirse excluido y/o aislado,Preparación para el trabajo y el desplazamiento,Gestionar mis compromisos personales
Otros Clericales y Administrativos,Dificultad para colaborar de forma remota,Falta de motivación,Mis gastos diarios,La cantidad de horas que trabajo
Profesionales de Tecnologías de la Información y Comunicación,Sentirse excluido y/o aislado,Conectividad (conexión a internet),Mis oportunidades de socializar,Mi satisfacción laboral
Profesionales de Tecnologías de la Información y Comunicación,Sentirse excluido y/o aislado,Equipos de IT ,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
"Profesionales de Negocios, Recursos Humanos y Marketing",Sentirse excluido y/o aislado,Falta de motivación,Gestionar mis responsabilidades familiares,Mis oportunidades de aprendizaje en el trabajo
"Profesionales de Negocios, Recursos Humanos y Marketing",Conectividad (conexión a internet),Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,La cantidad de horas que trabajo
Profesionales de Tecnologías de la Información y Comunicación,Responsabilidades de cuidado,Falta de motivación,Preparación para el trabajo y el desplazamiento,La cantidad de horas que trabajo
Profesionales de la Educación,Sentirse excluido y/o aislado,Mi situación de vida,Mi equilibrio entre el trabajo y la vida personal,La cantidad de horas que trabajo
Gerentes Especialistas,Sentirse excluido y/o aislado,Falta de motivación,Mis gastos diarios,Mis oportunidades de socializar
Gerentes Especialistas,Equipos de IT ,Sentirse excluido y/o aislado,Mi bienestar mental,Mis relaciones laborales
Oficios de Electrotecnología y Telecomunicaciones,Mi espacio de trabajo,Responsabilidades de cuidado,Mis oportunidades de aprendizaje en el trabajo,Mi bienestar mental
Gerentes Especialistas,Conectividad (conexión a internet),Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Profesionales de las Artes y los Medios,Conectividad (conexión a internet),La dirección desalienta el trabajo remoto,La cantidad de horas que trabajo,Mis oportunidades de socializar
"Directores Ejecutivos, Gerentes Generales y Legisladores",Falta de motivación,Gestión deficiente,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
"Directores Ejecutivos, Gerentes Generales y Legisladores",Falta de motivación,Mi situación de vida,Mis relaciones personales,Mi bienestar mental
Apoyo de Salud y Bienestar,Falta de motivación,Conectividad (conexión a internet),Preparación para el trabajo y el desplazamiento,Mi equilibrio entre el trabajo y la vida personal
Gerentes Especialistas,Falta de motivación,Sentirse excluido y/o aislado,Gestionar mis responsabilidades familiares,La cantidad de horas que trabajo
"Directores Ejecutivos, Gerentes Generales y Legisladores",Sentirse excluido y/o aislado,Gestión deficiente,Mi equilibrio entre el trabajo y la vida personal,Gestionar mis responsabilidades familiares
Representantes y Agentes de Ventas,Sentirse excluido y/o aislado,Mi espacio de trabajo,Gestionar mis responsabilidades familiares,Mis relaciones laborales
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Dificultad para colaborar de forma remota,Mi situación de vida,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
Profesionales de Tecnologías de la Información y Comunicación,Sentirse excluido y/o aislado,Equipos de IT ,Mis gastos diarios,Mi bienestar mental
"Profesionales de Negocios, Recursos Humanos y Marketing",Sentirse excluido y/o aislado,Falta de motivación,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
Representantes y Agentes de Ventas,La dirección desalienta el trabajo remoto,Falta de habilidades para trabajar de forma remota,Mis gastos diarios,Mis oportunidades de socializar
Representantes y Agentes de Ventas,Falta de motivación,Falta de motivación,Mis oportunidades de aprendizaje en el trabajo,Gestionar mis compromisos personales
Profesionales de la Educación,Sentirse excluido y/o aislado,Falta de motivación,Mi satisfacción laboral,Preparación para el trabajo y el desplazamiento
"Directores Ejecutivos, Gerentes Generales y Legisladores",Equipos de IT ,Ciberseguridad,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
Asistentes y Vendedores,Tengo tareas que no se pueden realizar de forma remota,Mi situación de vida,Mis gastos diarios,Mis oportunidades de aprendizaje en el trabajo
Profesionales de la Educación,Falta de motivación,Falta de motivación,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
Representantes y Agentes de Ventas,Conectividad (conexión a internet),Falta de motivación,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
Profesionales de Tecnologías de la Información y Comunicación,Ciberseguridad,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
Profesionales de la Educación,Sentirse excluido y/o aislado,Responsabilidades de cuidado,Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
Asistentes Personales y Secretarias,Equipos de IT ,Falta de motivación,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
"Directores Ejecutivos, Gerentes Generales y Legisladores",Dificultad para colaborar de forma remota,Falta de motivación,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
Profesionales de la Salud,Conectividad (conexión a internet),Dificultad para colaborar de forma remota,Gestionar mis responsabilidades familiares,Gestionar mis compromisos personales
Profesionales de las Artes y los Medios,Sentirse excluido y/o aislado,Mi espacio de trabajo,Mi equilibrio entre el trabajo y la vida personal,La cantidad de horas que trabajo
Otros Clericales y Administrativos,Conectividad (conexión a internet),Mi espacio de trabajo,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
"Directores Ejecutivos, Gerentes Generales y Legisladores",Dificultad para colaborar de forma remota,Responsabilidades de cuidado,Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
"Profesionales de Negocios, Recursos Humanos y Marketing",Sentirse excluido y/o aislado,La dirección desalienta el trabajo remoto,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
"Profesionales de Negocios, Recursos Humanos y Marketing",Sentirse excluido y/o aislado,Conectividad (conexión a internet),Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
"Directores Ejecutivos, Gerentes Generales y Legisladores",Conectividad (conexión a internet),Mi espacio de trabajo,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Profesionales de Tecnologías de la Información y Comunicación,Ciberseguridad,El software y los sistemas de mi organización,Gestionar mis responsabilidades familiares,Mis relaciones laborales
Representantes y Agentes de Ventas,Conectividad (conexión a internet),Falta de motivación,Gestionar mis responsabilidades familiares,Mis relaciones laborales
"Gerentes de Hospitalidad, Retail y Servicios",Mi situación de vida,Responsabilidades de cuidado,Mi equilibrio entre el trabajo y la vida personal,Mi bienestar mental
Profesionales de Tecnologías de la Información y Comunicación,Mi situación de vida,Falta de habilidades para trabajar de forma remota,Gestionar mis responsabilidades familiares,Mis oportunidades de socializar
Gerentes Especialistas,Dificultad para colaborar de forma remota,Falta de motivación,Mis relaciones laborales,Mis oportunidades de aprendizaje en el trabajo
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Mi espacio de trabajo,Responsabilidades de cuidado,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
"Profesionales de Negocios, Recursos Humanos y Marketing",Sentirse excluido y/o aislado,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
Gerentes Especialistas,Gestión deficiente,Conectividad (conexión a internet),Mi equilibrio entre el trabajo y la vida personal,Mi satisfacción laboral
Gerentes Especialistas,Sentirse excluido y/o aislado,Falta de motivación,Gestionar mis compromisos personales,Mi bienestar mental
Profesionales de la Educación,Sentirse excluido y/o aislado,Mi espacio de trabajo,Gestionar mis responsabilidades familiares,Mis oportunidades de socializar
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Sentirse excluido y/o aislado,Falta de motivación,Gestionar mis compromisos personales,Mis oportunidades de aprendizaje en el trabajo
"Directores Ejecutivos, Gerentes Generales y Legisladores",La dirección desalienta el trabajo remoto,Mi situación de vida,La cantidad de horas que trabajo,Mis oportunidades de aprendizaje en el trabajo
Profesionales de Tecnologías de la Información y Comunicación,Conectividad (conexión a internet),Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Profesionales de Tecnologías de la Información y Comunicación,Sentirse excluido y/o aislado,Gestión deficiente,Mis gastos diarios,Mis oportunidades de socializar
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Sentirse excluido y/o aislado,La dirección desalienta el trabajo remoto,Mis gastos diarios,Mi bienestar mental
Gerentes Especialistas,La dirección desalienta el trabajo remoto,Falta de motivación,Mi satisfacción laboral,La cantidad de horas que trabajo
"Directores Ejecutivos, Gerentes Generales y Legisladores",Falta de motivación,Mi espacio de trabajo,Mis relaciones personales,Mis relaciones laborales
"Gerentes de Hospitalidad, Retail y Servicios",Sentirse excluido y/o aislado,Gestión deficiente,Gestionar mis responsabilidades familiares,Mi satisfacción laboral
Gerentes Especialistas,La dirección desalienta el trabajo remoto,Responsabilidades de cuidado,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
Profesionales de Tecnologías de la Información y Comunicación,Equipos de IT ,Falta de motivación,Preparación para el trabajo y el desplazamiento,Mis oportunidades de aprendizaje en el trabajo
Clerks Numéricos,Falta de motivación,Falta de motivación,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
Gerentes de Oficina y Administradores de Programas,Falta de motivación,La dirección desalienta el trabajo remoto,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
Otros Clericales y Administrativos,Sentirse excluido y/o aislado,Responsabilidades de cuidado,Gestionar mis compromisos personales,Mis relaciones laborales
Gerentes Especialistas,Gestión deficiente,Mi situación de vida,Mis gastos diarios,Mis relaciones laborales
Gerentes Especialistas,Equipos de IT ,Sentirse excluido y/o aislado,Mi equilibrio entre el trabajo y la vida personal,La cantidad de horas que trabajo
Asistentes Personales y Secretarias,Falta de motivación,Equipos de IT ,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Gerentes Especialistas,Equipos de IT ,Conectividad (conexión a internet),Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Falta de motivación,Gestión deficiente,Preparación para el trabajo y el desplazamiento,Mi bienestar mental
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Gestión deficiente,Equipos de IT ,Preparación para el trabajo y el desplazamiento,Mis oportunidades de aprendizaje en el trabajo
Otros Obreros,Sentirse excluido y/o aislado,Equipos de IT ,Mi satisfacción laboral,Preparación para el trabajo y el desplazamiento
"Profesionales de Negocios, Recursos Humanos y Marketing",Ciberseguridad,Sentirse excluido y/o aislado,Mi equilibrio entre el trabajo y la vida personal,Mi bienestar mental
Profesionales de las Artes y los Medios,Responsabilidades de cuidado,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Soporte de Ventas,Gestión deficiente,Falta de motivación,Gestionar mis responsabilidades familiares,Mis relaciones personales
Profesionales de la Educación,Falta de motivación,Responsabilidades de cuidado,Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
,Falta de motivación,Conectividad (conexión a internet),Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
"Profesionales Legales, Sociales y de Bienestar",Responsabilidades de cuidado,Ciberseguridad,Gestionar mis responsabilidades familiares,Mis relaciones laborales
Representantes y Agentes de Ventas,Conectividad (conexión a internet),Falta de motivación,Mis gastos diarios,Mi satisfacción laboral
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Gestión deficiente,Falta de motivación,Preparación para el trabajo y el desplazamiento,Gestionar mis responsabilidades familiares
Profesionales de la Educación,Gestión deficiente,Sentirse excluido y/o aislado,Mi satisfacción laboral,Mis oportunidades de socializar
"Profesionales de Negocios, Recursos Humanos y Marketing",Equipos de IT ,Mi situación de vida,Mis relaciones laborales,Mis oportunidades de socializar
"Directores Ejecutivos, Gerentes Generales y Legisladores",Conectividad (conexión a internet),Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Preparación para el trabajo y el desplazamiento
Profesionales de Tecnologías de la Información y Comunicación,Dificultad para colaborar de forma remota,La dirección desalienta el trabajo remoto,Preparación para el trabajo y el desplazamiento,Mis oportunidades de aprendizaje en el trabajo
"Gerentes de Hospitalidad, Retail y Servicios",Falta de motivación,Conectividad (conexión a internet),Mis relaciones personales,Mi bienestar mental
"Profesionales de Negocios, Recursos Humanos y Marketing",Sentirse excluido y/o aislado,Ciberseguridad,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
"Directores Ejecutivos, Gerentes Generales y Legisladores",Falta de motivación,El software y los sistemas de mi organización,Preparación para el trabajo y el desplazamiento,La cantidad de horas que trabajo
"Directores Ejecutivos, Gerentes Generales y Legisladores",Conectividad (conexión a internet),Tengo tareas que no se pueden realizar de forma remota,Mis relaciones laborales,Mi satisfacción laboral
Profesionales de la Salud,Ciberseguridad,Falta de motivación,Gestionar mis responsabilidades familiares,Preparación para el trabajo y el desplazamiento
Asistentes Personales y Secretarias,Equipos de IT ,Mi situación de vida,Mis gastos diarios,La cantidad de horas que trabajo
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Sentirse excluido y/o aislado,Dificultad para colaborar de forma remota,Preparación para el trabajo y el desplazamiento,Mi bienestar mental
Obreros de Construcción y Minería,Gestión deficiente,Falta de habilidades para trabajar de forma remota,Mis gastos diarios,Mis relaciones laborales
Profesionales de la Salud,Dificultad para colaborar de forma remota,Responsabilidades de cuidado,Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
"Directores Ejecutivos, Gerentes Generales y Legisladores",Falta de motivación,Mi espacio de trabajo,Preparación para el trabajo y el desplazamiento,Preparación para el trabajo y el desplazamiento
Profesionales de la Educación,Mi situación de vida,El software y los sistemas de mi organización,Mi equilibrio entre el trabajo y la vida personal,Gestionar mis responsabilidades familiares
Gerentes Especialistas,Sentirse excluido y/o aislado,Conectividad (conexión a internet),La cantidad de horas que trabajo,Mi equilibrio entre el trabajo y la vida personal
Apoyo Clerical y de Oficina,Ciberseguridad,Sentirse excluido y/o aislado,La cantidad de horas que trabajo,Mi equilibrio entre el trabajo y la vida personal
Apoyo Clerical y de Oficina,Falta de motivación,Falta de habilidades para trabajar de forma remota,Gestionar mis responsabilidades familiares,La cantidad de horas que trabajo
"Directores Ejecutivos, Gerentes Generales y Legisladores",Sentirse excluido y/o aislado,Mi situación de vida,Mis relaciones laborales,Mi equilibrio entre el trabajo y la vida personal
Gerentes de Oficina y Administradores de Programas,Equipos de IT ,Mi situación de vida,Preparación para el trabajo y el desplazamiento,Gestionar mis responsabilidades familiares
Profesionales de la Educación,La dirección desalienta el trabajo remoto,Falta de motivación,Mis gastos diarios,Mis oportunidades de aprendizaje en el trabajo
"Directores Ejecutivos, Gerentes Generales y Legisladores",Conectividad (conexión a internet),Mi espacio de trabajo,La cantidad de horas que trabajo,Mis gastos diarios
"Profesionales de Negocios, Recursos Humanos y Marketing",Conectividad (conexión a internet),Sentirse excluido y/o aislado,Mi equilibrio entre el trabajo y la vida personal,Mi bienestar mental
Oficios de Construcción,La dirección desalienta el trabajo remoto,Conectividad (conexión a internet),Mi satisfacción laboral,Preparación para el trabajo y el desplazamiento
Otros Clericales y Administrativos,Sentirse excluido y/o aislado,La dirección desalienta el trabajo remoto,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
Hospitalidad,La dirección desalienta el trabajo remoto,Falta de habilidades para trabajar de forma remota,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Otros Técnicos y Oficios,Sentirse excluido y/o aislado,Falta de motivación,Gestionar mis compromisos personales,Mi bienestar mental
Profesionales de Tecnologías de la Información y Comunicación,Responsabilidades de cuidado,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,La cantidad de horas que trabajo
Otros Clericales y Administrativos,Conectividad (conexión a internet),Responsabilidades de cuidado,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
"Gerentes de Hospitalidad, Retail y Servicios",Sentirse excluido y/o aislado,Falta de motivación,La cantidad de horas que trabajo,Mi satisfacción laboral
Profesionales de la Educación,Equipos de IT ,Responsabilidades de cuidado,Mi bienestar mental,Preparación para el trabajo y el desplazamiento
Profesionales de las Artes y los Medios,Falta de motivación,Ciberseguridad,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Profesionales de la Salud,Equipos de IT ,Gestión deficiente,Gestionar mis compromisos personales,Preparación para el trabajo y el desplazamiento
Profesionales de Tecnologías de la Información y Comunicación,Falta de motivación,Gestión deficiente,Mi bienestar mental,Preparación para el trabajo y el desplazamiento
Gerentes Especialistas,La dirección desalienta el trabajo remoto,Falta de motivación,La cantidad de horas que trabajo,Mis relaciones laborales
,Responsabilidades de cuidado,Mi espacio de trabajo,Gestionar mis responsabilidades familiares,Mis oportunidades de socializar
Clerks Numéricos,Sentirse excluido y/o aislado,Ciberseguridad,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Gerentes Especialistas,Mi situación de vida,La dirección desalienta el trabajo remoto,Mi satisfacción laboral,Mis oportunidades de socializar
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",Dificultad para colaborar de forma remota,Conectividad (conexión a internet),Mi equilibrio entre el trabajo y la vida personal,Gestionar mis responsabilidades familiares
Profesionales de la Educación,Sentirse excluido y/o aislado,El software y los sistemas de mi organización,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
Gerentes Especialistas,Conectividad (conexión a internet),La dirección desalienta el trabajo remoto,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
Apoyo Clerical y de Oficina,Falta de motivación,La dirección desalienta el trabajo remoto,Gestionar mis responsabilidades familiares,La cantidad de horas que trabajo
Profesionales de la Educación,Sentirse excluido y/o aislado,Mi situación de vida,Preparación para el trabajo y el desplazamiento,Mi bienestar mental
Asistentes de Preparación de Alimentos,Sentirse excluido y/o aislado,Falta de motivación,Mis relaciones laborales,Mis oportunidades de socializar
